"Menurut Anda, apakah adanya disrupsi membuat profesi akuntansi akan tergeser peranannya oleh robotic dan kecerdasan buatan dalam rentan waktu beberapa tahun kedepan?",Compound_Score,Sentiments
"I don't think so
It is true that disruption will make the accounting profession use technology in carrying out its activities. However, to overcome this, various ways have been carried out to compensate for this disruption. For example, in Vocational High Schools, especially accounting majors, learning has been carried out that lead to the application of technology. There are also several subjects whose goal is for students to have skills in using technology in accounting. In addition, technology can indeed make it easier for users to keep financial records, but to analyze financial results still requires humans to be able to interpret the results.",0.063,Positif
"No, even though many sophisticated technologies have sprung up that can help accountants work, their role cannot be replaced. Everyone can operate this technology, but not everyone can have the expertise to analyze the financial aspects of an accountant",0.4854,Positif
"It could be, but of course it will also open up opportunities for the creation of new jobs. Therefore, the development of the skills and expertise of the accounting profession needs to be balanced with current technological advances.",0.7227,Positif
can,0.0,Netral
"no because the robot will only help in processing numbers, but not in making decisions",0.0644,Positif
"no, because robotics will only help in a faster work process, but in making decisions you will still use the ability of an accountant",0.5859,Positif
"Yes, for sure, but not 100% will be shifted because after all, the accounting profession is still needed. Maybe it's all done by robotics but surely also supervised by the accounting profession. So it doesn't shift 100%.",0.7469,Positif
"The role in terms of activities or activities that are repetitive or repetitive will certainly be replaced by machines. However, on the other hand, accountants will have more time for other things, especially in terms of increasing competence. Machines, of course, have a limit where things that can be automated are things that have been going on for a long time. Likewise, AI certainly has limitations in terms of analysis, AI cannot replace the role of humans in analyzing new things that have never existed before.",0.6124,Positif
Can,0.0,Netral
"Of course the demand for the use of technology will be higher, if accountants do not adapt and use technology as an instrument to help their work, then they will certainly lose their place.",0.2263,Positif
"Not entirely, but maybe a reduction in the number of accountant needs because there are some accountant jobs that cannot be replaced with robotics",0.1154,Positif
may be,0.0,Netral
"No, the role of an accountant will always be needed because robotics can only help but cannot make the right decisions.",0.2144,Positif
can,0.0,Netral
"I don't think so, because once again the role of humans is still quite important. Maybe the existence of robotic only as an aid only.",0.2716,Positif
No,-0.296,Negatif
"It could be, if the accounting profession cannot work side by side with technology then the profession can be easily replaced",0.34,Positif
"It will not be completely shifted, the reason is the same as the answers to other questions, because all of this technology will still be created and controlled by the accounting profession.",0.25,Positif
"Yes, it can be shifted even more, in fact, recently there have been many replacements for the accounting profession.",0.4019,Positif
"maybe yes, but human power will still be needed. maybe in the future there will be a conversion to adjust learning from lectures with new technology",0.2144,Positif
No. the accounting profession continues to exist despite the increasingly intense atmosphere of the presence of technology.,-0.0572,Negatif
"In my opinion, it is not completely shifted because humans (accountants) are still needed",0.0,Netral
"Maybe you can. Because now it seems that everything has to work quickly, with advances in technology everything has to be completed in an efficient and effective time. Then accountants must have more abilities in other matters, for example problem solving and sustainability in managing finances",0.7902,Positif
"I don't think everything will shift, the subject or human will still have a big contribution",0.0,Netral
"Not shifted, but there is a change in the system where as the era develops, humans will develop and follow the modern era and are forced to be prosecuted in that era",-0.8126,Negatif
"Not because the accounting profession will not disappear and is still very much needed, but accountants in the future must provide expertise in using technology to prepare information, carry out planning, and make decisions to suit changing times.",0.0857,Positif
"For the next few years, I don't think so, but whether it's decades or hundreds of years, accounting itself will definitely experience disruption",0.0772,Positif
It is possible that in the next 15 years you will really feel it starting from the use of electronic money which is currently very massive and can automatically input everyone's financial flows making it all directly connected to the existing system,0.0,Netral
"Accounting applications cannot be used to consult regarding decisions that companies must make based on their financial data. So in my opinion, there are still great opportunities in the world of work if we work as accountants or other professions majoring in accounting.",0.7717,Positif
"It could be yes, depending on how much impact arises due to the disruption",0.0516,Positif
"Technology will not replace the job of an accountant. Accountants and technology will instead evolve together.
In addition, humans are also required to be able to master technology and information that is developing so that it is irreplaceable.",0.0,Netral
absolutely not,0.0,Netral
"Even now, for recording and preparing financial reports, they have been replaced with systems or software that can process numbers into financial reports. However, for the role of analysis, I think that in the next few years, the role of accountants will not be shifted because the culture of each region and country is different.",0.0,Netral
"If professional accountants maintain their stance without wanting to learn and accept the existence of this advanced technology, then it is very likely that this will happen. But I think humans and advanced technology can work side by side or collaborate with each other, because robotics and artificial intelligence were originally created by humans, which in the process and the results cannot be 100% perfect either. Error factors can also occur so that its use requires human judgment. Meanwhile, in order for humans to be able to make maximum use of advanced technology, they need to hone new skills and knowledge such as data analysts, artificial intelligence, and cyber security, or to be able to work together with experts in these fields (for example, accountants need to work together with technology experts). The existence of society 5.0 can eliminate existing jobs due to automation, but can also create new jobs that emphasize collaboration between humans, technology and the environment. Individuals and professionals who are willing to adapt to these changes and are willing to develop new skills will be able to survive and be successful in the midst of disruption due to the emergence of big data, robotics and artificial intelligence in the era of society 5.0.",0.9703,Positif
"No, because accounting still requires humans to do it",0.0,Netral
"Maybe the role of the accounting profession will shift, but not completely, because there are still parts of the job that still require human thought, in this case accountants. In addition, the AI ​​development stage, for example, is still in its early stages, so it is still not known to what extent AI, artificial intelligence, and big data can replace human roles.",0.631,Positif
"Yes, with the development of existing technology this can happen",0.4019,Positif
"As long as accountants can improve their soft skills in various fields to remain able to keep abreast of and be responsive to changes, the accounting profession will not be replaced.",0.6597,Positif
"Yes, because developments in this digital era will make innovations that can minimize errors and time efficiency, but it really needs to be considered",0.2263,Positif
no,-0.296,Negatif
It could be like that,0.3612,Positif
"No, professional accountants are still required to cross check external sources of information",0.0,Netral
"Technology will not replace the job of an accountant. Accountants and technology will instead evolve together. The presence of technology is one of the innovative findings that has a function to advance operational systems to become more flexible and easy to reach, so there is no reason that the presence of technology will definitely remove the role of the accountant. However, this forces accountants to modernize their thinking and abilities so they can adapt to changing times.",0.8622,Positif
"I think it is possible, but going back to the book, do we want our jobs to be completely taken over by robots/ai or not.",0.1154,Positif
can,0.0,Netral
"Maybe, but not completely. There must be a job / activity that can not be replaced.",0.0,Netral
"No, because it will definitely require humans to operate the technology",0.4019,Positif
"In my opinion, even though the accounting profession will be replaced by sophisticated technology, it will still require human labor because even if sophisticated technology, there will definitely be errors and humans are needed to examine all these errors and monitor them.",0.7269,Positif
I think the accounting profession will still be needed,0.0,Netral
"No. For the next few years, it is unlikely that robots and AI will take over the accounting profession. However, maybe in another 15-20 years, this might be able to happen.",0.0,Netral
"Yes. However, there is motivation and belief from some people that no matter how sophisticated artificial intelligence is that will be present in the world, it will not defeat HR or human resources and the way humans work. So, maybe in the next few years, the hope is that artificial intelligence can become a companion in facilitating work without excessive disruption.",0.9653,Positif
No,-0.296,Negatif
"No, it won't shift",0.0,Netral
"The field of accounting is indeed experiencing significant advancements due to robotics and artificial intelligence (AI). Automation and AI technologies have the potential to disrupt certain aspects of the accounting profession, but it is unlikely to entirely displace accountants in the near future. Let me explain further.

    Automation of repetitive tasks: Robotics and AI can automate repetitive and rule-based tasks such as data entry, reconciliations, and basic calculations. This automation can significantly improve efficiency and accuracy in these areas. As a result, accountants can focus more on higher-level analysis and decision-making.

    Data analysis and insights: AI-powered tools can analyze large volumes of financial data quickly and identify patterns, anomalies, and insights that may not be easily detectable by humans alone. Accountants can leverage these tools to provide more valuable financial analysis and strategic advice to clients or organizations.

    Compliance and regulation: The accounting profession is heavily regulated, and staying up to date with changing regulations can be time-consuming. AI technologies can assist accountants in monitoring compliance, identifying potential issues, and ensuring adherence to regulations.",0.8514,Positif
No,-0.296,Negatif
"for the short term no, but for the long term maybe over time it will be shifted little by little.",0.0,Netral
"No, because for serious data processing, accountants are still needed to process it",-0.0772,Negatif
The answer is the same as question no.3,0.0,Netral
no... because the intelligence possessed by robots is not comparable to human IQ,0.4767,Positif
"In my opinion, there is great potential if an accountant is replaced by AI, but in some ways AI is still unable to match human intelligence",0.7717,Positif
"no, because after all the system will have no immediate effect in the short term",-0.296,Negatif
"The presence of technology is one of the innovative findings that has a function to advance operational systems to become more flexible and easy to reach, so there is no reason that the presence of technology will definitely remove the role of the accountant. However, this forces accountants to modernize their thinking and abilities so they can adapt to changing times, so that their role from the accounting side will not disappear, but instead collaborate with technology.",0.6838,Positif
"it could be because as the years go by, the technology becomes more and more sophisticated because everyone's knowledge is growing so that they can create this technology",0.788,Positif
"the accounting profession will probably be displaced by artificial intelligence and robotics. in today's era. however, not completely replaceable. provided that the accounting profession can make adjustments and master the changes that occur",0.4767,Positif
"yes, because when there is a disruption, the existing interest in the field of accounting will decrease because many are already using AI.",0.4939,Positif
"Not really, because the existence of the robot also requires humans to run the robot.",0.0,Netral
"yes, human capabilities are not commensurate with the speed of robots and technology, so the human role can easily be replaced by artificial intelligence",0.802,Positif
5 to 10 years in the future,0.0,Netral
"Yes, in the next few years maybe",0.4019,Positif
"Yes, with very sophisticated technology, this profession is likely to be replaced",0.7645,Positif
"no because as the robotic era develops, it will continue to make changes and become more sophisticated for the better",0.6801,Positif
"No, accountants are still required to provide professional judgment and advice to clients. The role of the accountant may change but will not completely disappear.",0.3235,Positif
"Even though the role of the accounting profession will be replaced by robotics, there is still a need for human resources to support this technology.",0.4019,Positif
"Yes, because today's AI is very sophisticated, so it might later resemble human thinking",0.7645,Positif
it could be,0.0,Netral
"Maybe it could, because humans often falsify a report. If you use technology, this fake can be reduced and even avoided.",-0.8412,Negatif
Maybe,0.0,Netral
"Despite experiencing many changes, the accounting profession is still considered to exist today. In order to be able to adapt to the increasingly sophisticated era of digital transformation, an accountant needs to upgrade his quality.",0.5574,Positif
"Technological developments such as robotics and artificial intelligence have had a major impact on accounting practices. However, this disruption does not mean that the human role in accounting practice will be completely replaced by technology in the next few years. Although technology can be used to automate and speed up the accounting process, it still requires human skills and knowledge to interpret data, evaluate information, and make the right decisions.",0.058,Positif
"I think this might happen but not in the near future because accounting also requires accuracy and also I think even if it is replaced by robotics, robotics will be done by humans",0.0,Netral
"It could be, because with robotics the process of financial reports etc. can be shorter and easier than humans who are tired and sometimes input incorrectly.",-0.0258,Negatif
"No, because at the moment Indonesia is still a developing country which of course if it turns into a developed country it will take a long time.",0.0,Netral
I don't think the accounting profession will be completely displaced by artificial intelligence in the next few years,0.4767,Positif
"maybe in the next few years the technology will be more sophisticated, but that only helps for inputting. In the next few years, we must also improve our quality so that technology cannot replace it.",0.8656,Positif
"yes, because the changes that have occurred have resulted in a decrease in the role and need for accountants in the world of work and so they have to move to other fields of work or industries.",0.4019,Positif
"I think it might be shifted. However, just like my previous answer, an accountant in the future will still be needed. Given that controlling technology and managing technology in the field of accounting is an accountant himself.",0.3612,Positif
"maybe yes and maybe no, because the continued development of technology makes all jobs easier",0.6705,Positif
"maybe a little shifted because of robotics and artificial intelligence, but in some ways it can only be done by humans with the accounting profession",0.2617,Positif
Maybe you can but we as artificial intelligence makers definitely have many advantages over AI,0.899,Positif
"Maybe it can be replaced, but not all accounting activities can be replaced",0.0,Netral
"It could be, because the existence of artificial intelligence makes accounting work easier which also has a negative impact on accountant work because of course it will reduce the number of accountants needed by a company",0.3612,Positif
"I don't think so, because even though robotics can do everything. but what is called the accounting profession requires other things besides just working on financial data",0.0,Netral
"it could be, because you see a world that is getting more advanced. and may be more efficient if using technology",0.6582,Positif
"Yes, because the changes that have occurred have resulted in a decrease in the role and need for accountants in the world of work and so they have to move to other fields of work or industries.",0.4019,Positif
"No. Because the job of an accountant is not only to make financial reports for a business, but more than that they are tasked with interpreting these reports into information, so that they can be used to make profitable business decisions.",0.5927,Positif
No,-0.296,Negatif
"yes, but the accountant himself still has to improve his own intelligence",0.8705,Positif
"No, because the position of accountant is always needed as an individual who can perform more in-depth analysis, provide more complex advice, and provide a broader business perspective.",0.0,Netral
Yes but not all,0.2144,Positif
Most likely yes :(,-0.0478,Negatif
Again,0.0,Netral
"In my opinion, the accounting profession could be shifted",0.0,Netral
"No, because humans still need to communicate properly, unlike robots",0.0,Netral
"In my opinion, yes... because with increasingly sophisticated robotics, human resources will also be disrupted",0.743,Positif
"No, definitely an accountant is still needed",0.4019,Positif
In the next 20 years.,0.0,Netral
Obviously like that because the change will be greater than the current one,0.6124,Positif
"yes, if this continues to be done then the accounting profession will be increasingly vulnerable to getting a job.",0.2023,Positif
"Yes, the role of the accounting profession could be shifted by robotics and artificial intelligence in the next few years due to developments in the increasingly advanced era of globalization",0.7783,Positif
"I see that technology and artificial intelligence can help strengthen and enhance the role of accountants in the future, rather than displacing it completely. However, to stay relevant and competitive in the digital age, accountants need to update their skills and knowledge to face new challenges and take advantage of the potential offered by technology and artificial intelligence.",0.9217,Positif
I don't think so if an accountant has skills in his field.,0.0,Netral
Not really,0.0,Netral
No,-0.296,Negatif
Maybe yes,0.4019,Positif
"Not all, which obviously will make it easier",0.4215,Positif
most likely yes,0.4549,Positif
Of.,0.0,Netral
"No, because everything is controlled by humans, if robotics is growing, then unemployment will automatically increase",0.0258,Positif
Of,0.0,Netral
Can,0.0,Netral
"In my opinion, not all, but there is little impact for an accountant.",0.0,Netral
"Even though it can be replaced by robotics, it still needs humans as operators",0.0,Netral
"Maybe because when robots are like humans, human work will be replaced by robotics",0.3612,Positif
Can,0.0,Netral
Not completely,0.0,Netral
Not really,0.0,Netral
Not guaranteed,0.0,Netral
For now it is possible but now many young people have great potential,0.7684,Positif
"I don't think so
Because he works on human movement",0.0,Netral
can,0.0,Netral
"Yes, because in the coming era the accounting profession will likely be shifted by robotic techniques",0.4019,Positif
"I don't think so because it is an accountant who can access data by using robotics, meaning in compiling financial reports",0.0,Netral
There are but not all of them are played by robots,0.4767,Positif
"In my opinion, 50% of all professions, both accounting and others, will be replaced. However, this can also trigger the availability of human resources which may further improve the quality of its resources. Ever with a quote from someone that, as sophisticated as a substitute machine, human intelligence is even more sophisticated.",0.9259,Positif
it is not possible to embrace a longer time,-0.2411,Negatif
"Although technology has made accounting work easier, such as data processing and financial reporting, it still requires human expertise and judgment to understand and analyze more complex financial information.",0.4215,Positif
"I don't think so, because accounting knowledge and the accounting profession are still relevant in Indonesia today.",0.0,Netral
"Yes, it will be shifted, because artificial intelligence can replace the role of the accounting profession",0.7003,Positif
can,0.0,Netral
"No, because in the field of accounting. There are many things and possibilities that must be considered by logic and common sense, which artificial intelligence may not necessarily be able to do. No matter how good the knowledge and arrangements given.",0.7119,Positif
"Yes, because maybe in the future robotics will work more compared to human power",0.4019,Positif
I think so,0.0,Netral
"In my opinion, it can be seen from the development of the times",0.0,Netral
"Can,",0.0,Netral
"not really, if accounting stays creative and better than robots",0.7003,Positif
Of,0.0,Netral
Of,0.0,Netral
"Yes, could be",0.4019,Positif
"No, because in my opinion an accountant and a robotic are different",0.0,Netral
Yes,0.4019,Positif
"Yes, if there is a society 5.0 then humans will be shifted, right?",0.4019,Positif
"I don't think it will be completely replaced by robots, because after all technology is indeed smart, but intelligence is purely from human reason. Technology can be flawed but human intelligence will not be replaced. because even if the accounting-based technology is flawed, repairing the technology itself definitely requires the role of the accounting profession",0.6597,Positif
"Yes If the existing technology is getting more sophisticated from year to year, it is very likely that the accounting profession will be replaced by technology.",0.7645,Positif
That's right because later students will be more inclined towards technology like that rather than using their own minds,0.3612,Positif
"Yes
Because robotic is faster and more responsive in responding to everything",0.6697,Positif
may be shifted by the role of robotics because it can shift the position and existence of accountants,0.0,Netral
"very threatened, let alone technology can catch up with the performance of humans and others""",-0.6764,Negatif
"In my opinion, robotics in the next few years will certainly be more widespread, and can reduce the number of workers in the accounting field. But it still requires the humans themselves because there are also some who have to use logic and digital management also requires knowledge from humans themselves.",0.2144,Positif
I think this disruption will shift the role of the accounting profession to artificial intelligence in the next few years if human resources do not make changes and prioritize artificial intelligence technology,0.5147,Positif
"Maybe with the current role of robotics, it can be seen that many roles of the accounting profession have been replaced by systems or robotics.",0.0,Netral
"Yes, approximately ""about 7 years in the future.",0.4019,Positif
I don't think so because maybe human ability is still needed to control the system,0.3182,Positif
"Yes, because robots can do accounting work even in a short time and in large quantities",0.4019,Positif
"Judging from the development of time, it can be seen that it will get better and better in terms of technology",0.7003,Positif
"Maybe yes, maybe no. I've said from the start, it depends on, whether Indonesia is that good at making capable technology or how Indonesia's human resources will develop in the future.",0.802,Positif
"Although technological disruptions such as robotics and artificial intelligence are affecting the accounting profession, estimates of how far this role will shift in the next few years are still difficult to predict. However, there are several factors to consider:

1. Automation of Routine Tasks: Routine tasks in accounting, such as data entry and completion of ledgers, tend to be more susceptible to automation using robotics and artificial intelligence. In the next few years, there is likely to be an increased use of technology to automate these tasks.

2. The Irreplaceable Role of Humans: While some tasks can be automated, there are aspects of the accounting profession that involve judgment, understanding the business context, and human interaction that technology will find difficult to completely replace. The ability to interpret data, solve complex problems, and professional discretion remains a significant added value for accountants.

3. Changes in the Role of Accountants: Technological disruptions may lead to changes in the role of accountants. In the next few years, the accountant's role may evolve to become more strategic, with a focus on in-depth data analysis, providing business advice, and managing digital financial technology. The ability to understand and manage technology will be important for accountants.

4. Innovation and Adaptability: A technologically evolving accounting profession will require accountants to adapt and innovate. They need to keep up to date with technology and learn new skills relevant to the digital age.

It should be noted that while technology can change the way accounting works, it can also create new opportunities. For example, with the use of big data and predictive analytics, accountants can provide more powerful insights and added value to clients and companies. Therefore, while the accountant's role may be changing, the profession remains relevant and important in providing financial services and professional judgments.",0.9693,Positif
I don't know and I'm not sure,-0.2411,Negatif
"Maybe so but not completely. Because basically those who run the application are also HR, so the student's task at this time is to compete with other HR to be able to get a job in the future. Which work will be greatly minimized by technology",0.0,Netral
"No, because the accounting profession still needs it",0.0,Netral
"Yes, like my answer in the previous question, it could also be yes, it might not be possible, yes, because I'm sure that the more the years, the more robotics will develop.",0.7871,Positif
"Yes for some parts of accounting, but also still relevant in this field",0.2144,Positif
"I don't think so, because although artificial intelligence is more effective and efficient. The occurrence of accounting processes in the real world cannot be inputted into artificial intelligence without an accountant.",0.9128,Positif
Not in my opinion,0.0,Netral
"Through predictions, the accounting profession will be displaced by technological capabilities. Because technological capabilities can be entered into various sources of knowledge that humans have",0.0,Netral
"Maybe yes, but there is still a role for humans",0.2144,Positif
I don't know much hehe,0.0,Netral
God willing no,-0.0258,Negatif
maybe if there is no synergy to stem it,-0.296,Negatif
"In my opinion, the role of humans is still important in society 5.0 because in recognizing every transaction in a company, human logic is still needed to do it",0.2023,Positif
could be shifted if the role of robotics is more needed,0.0,Netral
yes but not significant,-0.0098,Negatif
"In my opinion, in the short term it will not be shifted, but in the long term there is a possibility that it will",0.0,Netral
"Yes it can be, because the company definitely wants valid data",0.6597,Positif
"In my opinion, it is not shifted because robotics can only compile financial reports, but to analyze financial reports, you still need to use an accountant",0.0,Netral
"Not shifted, because robotics can only compile financial reports but to analyze financial reports still need an accountant",0.0,Netral
Maybe not for now,0.0,Netral
Yes it will happen,0.4019,Positif
It could be,0.0,Netral
"Developments in robotic technology and artificial intelligence have changed the way accounting works and may impact the accountant's traditional role. However, the role of the accountant in the next few years will still be relevant and important.",0.5994,Positif
does not seem,0.0,Netral
"Yes, even now it has shifted a lot",0.4019,Positif
Won't,0.0,Netral
"Do not rule out, because technology will continue to grow.",0.0,Netral
I think yes. but maybe in the future we also have to keep up with developments such as accounting technology as technology users,0.2144,Positif
"In my opinion, can not be replaced.
However, it can be used as a tool to help accuracy in the sustainability process",0.4019,Positif
"I don't think so because as sophisticated as robotics is, it still needs to use humans",0.5945,Positif
I think so,0.0,Netral
"probably not, because robots are still driven by humans",0.0,Netral
"In my opinion, yes, because many people are helped, one of them is in the field of accounting.",0.4019,Positif
"Yes, because the accounting profession is vulnerable to being replaced by artificial intelligence",0.5994,Positif
"I don't think so. Because both are developing very rapidly, technology must definitely be run by an accountant.",0.4019,Positif
for this case maybe not,0.0,Netral
"Yes, because an accountant is directly related to the development of technology or software",0.4019,Positif
"no, because even though it uses technology, of course it will still require manpower to operate it",0.0,Netral
"In my opinion, the role of the accounting profession cannot be shifted because it is very important for various entities and sectors. But accounting jobs that require low skills such as recording transactions can be replaced by robotics and artificial intelligence.",0.4672,Positif
"No, because not all technologies can replace human functions in fulfilling their activities.",0.0,Netral
I don't think it will shift the accounting profession,0.0,Netral
"I don't think so, because the era of artificial intelligence only helps to make work easier, not to get work done",0.8176,Positif
"yes, surely some of the duties of the accounting profession will be replaced by existing technology",0.6808,Positif
can,0.0,Netral
maybe,0.0,Netral
"The development of the times maybe yes, because of its sophistication to the point where robots can make decisions through artificial intelligence through the input that is entered. So, the conclusion is yes",0.8176,Positif
"In my opinion, this disruption will not shift the role of the accounting profession to robotics and digital intelligence because it still requires the role of humans to provide opinions on the financial reports that have been made.",0.058,Positif
"no, just helping out. Because robotics cannot upgrade the abilities of accountants and only accountants themselves can upgrade their abilities through intermediaries such as artificial intelligence used in their work.",0.6767,Positif
"It could be, because technology is getting more and more sophisticated every year",0.6318,Positif
Maybe but in 10 or 20 years,0.0,Netral
"maybe yes, because the role will be replaced by robots and artificial intelligence",0.7003,Positif
"Certainly, technology will definitely shift the role of a human being. but humans need to develop further to run the technology.",0.3716,Positif
"no, but the accounting profession will switch or add other skills to support the ability to use technology.",0.7579,Positif
There is a possibility but not in the analysis section because robots cannot be sensitive to issues such as macroeconomics and company conditions,0.0,Netral
"No, I'm sure it doesn't touch humans, it still has more value than robotic and has more aggregate and flexible properties than existing programs in an AI or robotic",0.7316,Positif
"It just might happen. Because with artificial intelligence it is very easy and everyone can access it. Therefore, there is a need for a new curriculum so that majors that lead to professions are not eroded",0.7425,Positif
no companies still need the services of accountants to analyze the characteristics of a company,-0.296,Negatif
"Not really, because still robots cannot replace the role of humans",0.0,Netral
"Maybe now it has begun to be disrupted but not in its entirety, because there is a field of accounting that really needs human intelligence, not artificial intelligence",0.2992,Positif
It is very likely that the accounting profession will be replaced by robotics and artificial intelligence in the next few years,0.4767,Positif
"Maybe, if the work is related to basic things like record keeping. But for jobs that require in-depth analysis and also work like a consultant, I think it's irreplaceable.",0.6124,Positif
"Not shifted, but the presence of robotics will help to ease the task of an accountant",0.7783,Positif
probably,0.0,Netral
"Maybe yes, because it's getting old. So technological sophistication is also getting crazier, but there is one thing that cannot be touched by robotic technology in accountants, namely judgment where personal considerations or the auditor's point of view in responding to information affect documentation of evidence and the auditor's decision making on the financial statements of an entity, and that is only can be done by humans.",0.2023,Positif
Yes Because the accounting profession may be replaced in the future,0.4019,Positif
Maybe it will be shifted but not completely.,0.0,Netral
"No, because accountants are still needed. The existence of big data, robotics, and artificial intelligence can only do what we have systemized or handle something that has happened.",0.4767,Positif
It can be shifted,0.0,Netral
"It could be. However, as good as technology is, there are also errors. Circumstances like this definitely still require special skills from humans",0.8327,Positif
will not replace the human role,0.0,Netral
"In my opinion, even though there will be robots and artificial intelligence in the future, the accounting profession is still needed to interpret financial reports.",0.4767,Positif
"Maybe a little shifted, because we are back to see the interest in the accounting profession in the future",0.4588,Positif
"in my opinion yes, if not accompanied by in-depth knowledge of this AI. maybe accountants can learn and know the shortcomings of AI .",0.4019,Positif
"Less, there is no guarantee that the accounting profession will be completely replaced by robotics and artificial intelligence within the next few years. Although disruptions in the field of accounting may occur, the human role in ethical interpretation, decision-making, and judgment remains critical.",0.1769,Positif
No. the need for an accounting profession will still be needed because in a system there are bound to be indications of errors so that it still requires the human brain to analyze.,-0.34,Negatif
This will not happen if we as accountants increase our skills and keep abreast of existing technology,0.3182,Positif
"No, because not all technological advancements understand accounting rather than the humans themselves",0.0,Netral
"No, because every company needs accounting",0.0,Netral
"Of course it will be shifted, but regarding decision making it doesn't seem like it.",-0.395,Negatif
"No, because every company needs people in accounting",0.0,Netral
"No, still need an accountant as data imputation, also as analytics",0.0,Netral
"it won't be replaced, only jobs that are repetitive and can be automated, in my personal opinion if it's related to professional judgment then artificial intelligence can't replace the role of the accounting profession in the next few years",0.2732,Positif
No,-0.296,Negatif
Correct,0.0,Netral
"No, the accounting profession still cannot be completely replaced by technology",0.0,Netral
"yes, for some, but not all areas of accounting have been disrupted because it requires human analysis to do work and artificial intelligence cannot replace doing that analysis work.",0.7184,Positif
"I don't think so, because even with robotics and artificial intelligence, all of these things still have to be regulated by human intervention.",0.4767,Positif
"Maybe yes, maybe no. yes, if the HR of the accountant is now losing in terms of output, but not if the accountant can use robotics as an aid in completing tasks, etc.",0.2263,Positif
maybe yes,0.4019,Positif
Chances are yes,0.5423,Positif
"Yes, it's very easy to replace",0.7089,Positif
"Never because not all jobs in the accounting profession can be done by technology or robots, for example auditing.",0.0,Netral
"No, because some things about Accounting still need Humans, such as about stock analysis of company financial analysis. And in my opinion, robotics and so on are only to assist humans in carrying out work in the accounting profession",0.0,Netral
"No, in my opinion, in the future, the name of an accountant will be needed as an analyst",0.0,Netral
I think for accountants themselves maybe yes. But the branch of the accounting profession or its derivatives is definitely not,0.6597,Positif
No. Many accounting professions can only be done by humans,0.0,Netral
"No, because the technology was created by humans who have accounting knowledge. So the accounting profession was still safe in that era",0.5994,Positif
"No. The accounting profession will still exist, because the existence of artificial intelligence only makes it easier and does not replace the activities of accountants to input transaction data. As in the Zahir, Myob, Accurate applications, we have to input transaction data first, then artificial intelligence helps the accountant to do journalism.",0.891,Positif
"disruption may occur when humans cannot master computerization, when humans cannot develop following the flow of technology which is also growing, it is possible that there will be a shift in the role of the accounting profession",-0.2023,Negatif
"if we can maintain our intelligence in addition to the existence of the robotics, it is likely that it will not be shifted, and it is possible that we will cooperate with the robotics in carrying out activities as the accounting profession.",0.4767,Positif
"It depends on the accounting profession, for example, I don't think auditors will be displaced by robotics and AI",0.0,Netral
"in my opinion maybe it can be, but still requires human resources",0.0,Netral
"It could be, because at this time it depends on technology",0.0,Netral
