"Menurut Anda, bagaimana pendapat anda tentang society 5.0 yang merupakan era munculnya big data, robotic dan kecerdasan buatan?",Compound_Score,Sentiments
"In my opinion, with the emergence of big data, the storage of the human brain may no longer be optimal, but like Google, we can search very quickly, so that in this era it makes our work easier.",0.7964,Positif
"Interesting, a challenge for humans",0.4588,Positif
"Society 5.O is very good for the future development of the world economy because it will facilitate human work with increasingly sophisticated technological developments. However, this must be balanced with good human resources who are willing to continue learning.",0.8655,Positif
"In my opinion, the existence of society 5.0 is very relevant to human life today. With the existence of society 5.0, it can facilitate human life from various lines, all of which are dominated by technology.",0.0,Netral
Everything we need feels easier to reach as long as there is a will,0.4404,Positif
"In my opinion, the existence of society 5.0 can facilitate human needs by using modern science and technology such as AI and robots to meet human needs.",0.0,Netral
"In my opinion, this is a good thing. Due to the existence of society 5.0, the existing technology is also growing rapidly and everything that exists can be easier.",0.7506,Positif
"In my own opinion regarding society 5.0 it really helps human life. With the development of society 5.0, it requires humans to follow these developments.",0.4391,Positif
"In my opinion, the era of society 5.0 will make human work easier with the help of increasingly sophisticated technology",0.8442,Positif
"Incredibly, increasingly powerful technological developments will increase effectiveness and efficiency in all respects.",0.8473,Positif
"society 5.0 has its advantages and disadvantages, we as accounting students must of course stay in line with the current developing system.",-0.0516,Negatif
an era that can help improve the digitalization era,0.6808,Positif
will be an era that can help increase digitalization in all aspects of human life,0.6124,Positif
My opinion about Society 5.0 is an era that makes the world more advanced in the field of technology,0.3167,Positif
"With the emergence of big data, robotics, and AI, of course this brings great benefits to human life. Things that previously had to be done manually or at least required humans as operators can now be done automatically by machines. Thus, humans can focus on other things that can improve their quality of life.",0.8625,Positif
Is a proof of the progress of science and technology at this time,0.4215,Positif
"On the one hand, it will help us to simplify work and save costs because it can reduce labor costs.",0.8442,Positif
"With the existence of society 5.0, it can make human work easier and more efficient",0.7089,Positif
can make human work easier,0.4215,Positif
"Very easy and helpful work in all areas, especially in accounting.",0.7397,Positif
greatly facilitate work but there is a possibility of causing unemployment,-0.5927,Negatif
"In my opinion, by entering the era of society 5.0, the role of safe technology has become very large in everyday life. Positive and negative impacts can also be felt. Positive impacts such as ease of access and others. Meanwhile, the negative impact is the threat of disruption in various fields.",-0.1779,Negatif
will have a significant impact on the world of work,0.2023,Positif
"With this appearance, it can help students research the information needed in a short time, but has a negative impact in the form of laziness on students to find the information they need from more reliable sources.",-0.6369,Negatif
More able to take advantage of existing technologies in the application of everyday life so that they can keep abreast of these technological developments and human power can still be used in the future.,0.25,Positif
"On the one hand, the existence of big data, robotics, and artificial intelligence will make it easier to carry out activities and shorten the time to complete an activity. But on the other hand, it can lead to laziness because more software provides convenience. In addition, there will be a shift in the need for HR in a job which will be replaced by technology. The shift is not intended to replace, but some will use technology more.",0.8537,Positif
"getting more and more sophisticated every day, everyone already uses technology so in my opinion this is a good innovation for the future",0.8643,Positif
"The emergence of Society 5.0 is an evolutionary discovery of mankind. This is part of the stages of human development. With the creativity and innovation possessed by humans, any changes can be created.",0.7351,Positif
"My opinion about society 5.0, can facilitate human work but on the one hand it brings its own challenges for humans, for example at work.",0.6956,Positif
"In my opinion, Society 5.0 will be better than the industrial revolution 4.0. Even though they both use technology, humans also play a role in the era of society 5.0. So humans who control technology or actually use it for everyday life, don't just use technology, big data, and artificial intelligence without knowing its essence or not using it properly, it could even be that these technological advancements will control humans.",0.8126,Positif
"In my opinion, this is a development that we should understand well, especially those that intersect with the accounting profession. Because the appearance of everything in society 5.0 has positive and negative impacts when viewed from various perspectives",0.25,Positif
a concept that enables humanity to use modern technology-based science such as AI and robots to meet needs and make human life easier,0.4215,Positif
"In my opinion, society 5.0 is a concept that the lives of all humans can be made easier by the presence of technology. And the technology is part of the human itself.

In my opinion, the existence of society 5.0 is very important, because it can increase efficiency and productivity in supporting daily life and in all sectors.",0.8908,Positif
Good but there are pluses and minuses,0.2382,Positif
Every job can indeed absorb the human resources needed but the use of artificial intelligence is very useful in speeding up the work but on the other hand humans are still needed in controlling every existing Yayan intelligence tool,0.9577,Positif
"it is very time efficient and makes it easy for us to earn additional income from various platforms on the internet. Whether it's being a copywriter, or being an influencer, or doing additional work on the internet which is really good for increasing income. It's very easy, it's not like before if you want to earn money you have to be a civil servant or an office worker. Now the important thing is to have soft skills and hard skills, even high school students can earn millions of rupiah from the internet",0.8991,Positif
"Society 5.0 emphasizes an integrated, easy and fast life. For example, the use of robots that can help restaurants, clean houses, etc. can be controlled by computers and the internet. Society 5.0 makes human life practical and automatic.",0.8074,Positif
The emergence of society 5.0 This development can minimize social inequality and economic problems. technological developments in Society 5.0 encourage humans to also develop. This has an effect on increasing the quality of human beings.,0.1531,Positif
"not really surprised, because basically society 5.0 will give birth to a lot of cutting-edge technologies, but with the emergence of technology and AI there are more and more question marks.",-0.1132,Negatif
"Society 5.0 is a civilizational progress that cannot be avoided because of the times.
The good or bad of this era really depends on the community as users of this technology",0.5,Positif
"Society 5.0 which is the era of the emergence of big data, robotics and artificial intelligence emphasizes the integration of technology, humans and the environment to create a better life. Technology has a positive impact in various fields because it can increase the effectiveness and efficiency of costs, time and effort. Today's era where the technology created is increasingly sophisticated, and various new innovations such as robots and AI are increasingly being intensified by influential figures in the international world so that people also shift to using these technologies, such as in the fields of transportation, finance, communication, education. and others.",0.9719,Positif
Nice enough to help,0.6705,Positif
"The emergence of big data, robotics and artificial intelligence can help human work so that the targets that have been set can be more likely to be achieved. But there are also fears that the emergence of security 5.0 can take human jobs",0.3182,Positif
I think this is a technological advance that must be developed,0.0,Netral
"In society 5.0, humans are the main component, able to create new values ​​through technological developments that might be able to minimize gaps in humans and economic problems in the future.",0.2732,Positif
"With this, it can facilitate human needs with the use of modern technology-based science.",0.0,Netral
nice and quite helpful,0.7089,Positif
"I think that's a good thing with development over time, but the worst case scenario could be that all humans are unnecessary",-0.6908,Negatif
"In my opinion society 5.0 is the era of the application of high technology with the aim of efficiency and productivity in various sectors, as well as reducing negative impacts on the environment and helping to achieve sustainable development goals",0.2732,Positif
"In my opinion, it facilitates human needs with the ease of using science based on modern technology",0.3612,Positif
Very influential with everyday life especially in a world that currently employs mostly sophisticated machines.,0.7778,Positif
"In my opinion, regarding society 5.0, which is the era of the emergence of big data, robotics and artificial intelligence, it can be said that increasingly advanced technology can certainly encourage humans to participate in development.",0.8689,Positif
There are negative and positive impacts. The positive impact will lighten the work and the negative impact the profession will be threatened.,-0.4939,Negatif
"With technology, it can make all work easier, more effective, efficient and reliable. The possibility of errors can also be smaller.",0.7828,Positif
Society 5.0 implements a high-tech-based society. It is hoped that this will help human activities in the current era,0.6486,Positif
"Technological developments do help in making work easier, but of course it needs to be accompanied by qualified human resources as well",0.6597,Positif
"Society 5.0 has an impact like a 2-edged sword. On the positive side, many people are helped by robots and artificial intelligence. For example, many factories are starting to replace human power using machine power. This makes the company's operational costs decrease. For artificial intelligence, also many specific questions that are not common can now be answered using AI. AI can also help solve problems in the real world, such as giving advice, as inspiration, or even just as a conversation partner.

On the negative side, for example, when companies start using robotic technology, many people will lose their jobs. This left many people unemployed, exacerbating the existing wealth gap. AI is not spared from things like this. Many people are starting to use AI to do their tasks, making many people lazy to think. Many other sectors were also affected. Digital artists are starting to lose out with the large number of AI-generated paintings, by copying each artist's unique style and drawing style.",0.9136,Positif
"So far, with many new eras, such as AI now being widely discussed, things like that really help human work. Faster, more efficient. But there are also concerns about how the new era will replace human labour. Moreover, if artificial intelligence will be misused for things that only serve personal interests.",0.8871,Positif
the world is really growing by leaps and bounds,0.2484,Positif
"In my opinion, Hmm, it's pretty good because there is Artificial Intelligence that can help get a job done, but on the other hand there is a negative impact on reduced employment opportunities.",0.8225,Positif
"society is group of people with different culture, religious and beliefs but stay together in same community.  and society with artificial intelligent is society with advanced in technology.",0.7579,Positif
"In this era, almost all industrial workers in the world will be replaced due to the increasing sophistication of existing technology",0.0,Netral
Society 5.0 emerged with the aim of facilitating work or activities carried out by humans to make it faster and more efficient by utilizing technology.,0.4754,Positif
"In my opinion, the existence of AI will make it easier for human activities",0.4215,Positif
"In my opinion, yes it's good, because indeed there must be developments/changes in this life, but it would be nice, we have to be selective about the changes that occur",0.7579,Positif
"In my opinion, society 5.0 will have a major impact on progress because society 5.0 can be said to be a concept that allows humanity to use modern technology-based science such as AI and robots to meet needs and make human life easier.",0.7063,Positif
"Certainly it will be further helped by the presence of AI, but it is also worrying that this AI will be easily abused by irresponsible parties.",-0.6187,Negatif
"In my opinion, this is the impact of the success of human thinking for the convenience of living life, so the existence of society 5.0 is not bad either",0.7615,Positif
The existence of AI can help humans in doing a job,0.4019,Positif
"quite good and easy, but this emergence can weaken the human workforce because it is replaced by robots",-0.1335,Negatif
"the era of society 5.0 which gave rise to innovations can certainly facilitate human work in their daily lives, even in their work. there needs to be an adjustment effort by humans to balance and fully understand the era of society 5.0.",0.34,Positif
"My opinion about the emergence of society 5.0, work now can be very easy to do because there will be help from robotics and the like",0.8122,Positif
a concept that enables humanity to use modern technology-based science such as AI and robots to meet needs and make human life easier,0.4215,Positif
"in my opinion, in the era of society 5.0, with the emergence of artificial intelligence, robotics, etc., it has had a huge impact on all aspects of life. the impact that is given is very beneficial for many people but not infrequently it can also have a negative impact. depending on the use of the technology. especially if one day can replace the human profession.",-0.3079,Negatif
I don't really know what robotics is,0.0,Netral
very good,0.4927,Positif
I think this technology is very good and can be followed by the millennial generation,0.4927,Positif
"I think it's really cool, of course, with today's times, but not everyone can follow these developments",0.2014,Positif
Society 5.0 as a great opportunity to help make it easier to make better decisions and increase production efficiency.,0.959,Positif
"The era of society 5.0 is the era of the emergence of artificial intelligence, robotics and big data. Humans take advantage of technology to make it easier for human work and this certainly has negative and positive impacts.",0.8608,Positif
"Now AI is very rampant, I'm afraid many human jobs have been replaced",0.0,Netral
"In my opinion, this is good, but every new technology has drawbacks",0.2382,Positif
"It really helps make it easier to do a task, but it also makes people lazy to study",-0.1036,Negatif
"Incredibly, the effect makes our lives easier",0.4215,Positif
"This can be a solution to overcome the threat of our environment. Because the concept of Society 5.0 believes that the performance of a company or production house is not only based on financial measures, but also the welfare of the community and its workers.",-0.1406,Negatif
"I see great potential in the concept of Society 5.0, especially in terms of solving complex and urgent problems faced by society today. By leveraging big data, robotics and artificial intelligence, we can develop smart solutions to optimize resource use and reduce environmental impact. In addition, this technology can also be used to improve access and quality of education, health and other public services.",0.9531,Positif
"In my opinion, society 5.0 will affect several professional fields where maybe some people will take advantage of it because they think it will be more practical and efficient to use robotic or other technology.",0.6204,Positif
I think this era is very helpful to make it easier for humans to live their daily lives,0.7089,Positif
"Society 5.0 with the emergence of big data, robotics and artificial intelligence is very useful for meeting needs and facilitating human life. Where at this time of course technological changes are of course very influential and much needed in all aspects.",0.8586,Positif
"In my opinion society 5.0 can provide many benefits if managed properly. Big data, for example, can be used to make more informed and efficient decisions in various aspects of life, such as health, transportation and natural resource management.",0.8,Positif
"This era is really cool, I think the development of the world is really great",0.7897,Positif
"Society 5.0 is a human-centered concept based on technology, where this concept was developed by Japan to explain the vision of a future society driven by high technology.",0.25,Positif
"In my opinion society 5.0 is a great opportunity for us to learn even more to take advantage of various increasingly advanced developments. However, this is also a challenge and a threat to us as prospective accountants, where in the future our profession may be replaced by robots.",0.7943,Positif
"In my opinion, society 5.0 includes the concept of technology that is interesting and useful but still uses it wisely, and being an assistant in science is not for holding",0.7579,Positif
"The era of Society 5.0 is an era of increasingly sophisticated world in all matters. the longer some things in this world will be replaced by technology such as big data, robotics, artificial intelligence",0.7783,Positif
"From myself, this has a lot of benefits and is very helpful for the development of the era, making it easier for humans to do things, and there are challenges in itself where human resources in several professions are starting to become unnecessary in this case, technology is like a double-edged sword.",0.8832,Positif
Society 5.0 is a good thing if we can adapt and upgrade ourselves,0.4404,Positif
"the emergence of big data, robotics and artificial intelligence is currently helping the community, students, and students in various fields. This can help relieve various jobs and activities in everyday life",0.8591,Positif
"the emergence of society 5.0 in my opinion is quite good at helping humans in technology. However, the development of society 5.0 must also be accompanied by the awareness that we only need technology that can help our work, not replace us.",0.8104,Positif
"in my opinion, society 5.0 facilitates human needs with the use of modern technology-based science",0.0,Netral
"Society 5.0 is a human-centered concept based on technology, where this concept was developed by Japan to explain the vision of a future society driven by high technology.",0.25,Positif
"The existence of society 5.0 has a negative impact and can also have a positive impact on this life. One of the biggest impacts is the reduced role of a human being in it, but it also has a positive impact because with the convenience that occurs, work will be faster and more efficient.",0.8747,Positif
a concept that enables humanity to use modern technology-based science such as AI and robots to meet needs and make human life easier.,0.4215,Positif
"there are good and bad
good for more efficient reduction of risk and others
but not good because it reduces employment.",-0.2412,Negatif
"I see society 5.0 as a huge potential in the use of technology to solve social problems and to improve the quality of human life. In this era, information can be taken from various sources and analyzed to produce new insights about how these social problems can be overcome.",0.1531,Positif
There is a rapid development of technology that helps human work,0.3818,Positif
"I think it's very helpful because it makes it easier, but it also has disadvantages for those of us who still use conventional methods.",-0.154,Negatif
"Yes, I think it's very helpful",0.6997,Positif
I think that's good but it will also have an impact on the field of profession that can be shifted,0.2382,Positif
In my opinion this is quite good in helping humans in various ways to simplify and streamline time,0.6865,Positif
"In my opinion, the emergence of society 5.0 has the advantage of really helping human work to be faster.. the disadvantage is that human work can be replaced by robotics that take over human work.",0.1761,Positif
I think it helps but robotics can't do some of the things humans do,0.2023,Positif
"In my opinion, society 5.0, which signifies the increasing era of increasingly renewable technology, is good with the emergence of robots and so on, which is good, but the appearance of robots can also become a new problem, in which there will be fewer jobs available for humans.",-0.1655,Negatif
"It's good that society 5.0 exists, but can it be understood by parents with minimal learning who have difficulty adapting to society 5.0",-0.2846,Negatif
"in my opinion, the emergence of this matter has many positive impacts, but there are also negative impacts that arise",-0.5701,Negatif
There are positive and negative sides. Maybe on the positive side it makes it easier to do various things and on the negative side human resources are rivaled or no longer needed.,0.1027,Positif
Society 5.0 brings several risks and challenges. The rapid development of technology can cause an imbalance in society.,-0.2023,Negatif
"In my opinion, the emergence of big data, robotics and artificial intelligence is positively very beneficial, especially for entrepreneurs it can reduce the cost of the production process. But the downside is huge for HR. Where human labor will no longer be needed and consequently unemployment will increase.",0.2724,Positif
No because everyone will depend on it,-0.296,Negatif
"With the emergence of these things, things that are done become easier, but with that there are fewer jobs",0.2263,Positif
"In my opinion, everything has good and bad, but I'm also just a user, use it sparingly and don't overdo it",-0.0772,Negatif
Several fields of work will be in danger of not being needed anymore,-0.5267,Negatif
"the concept of society 5.0 has a good impact on human life, because this concept aims to facilitate human needs with AI as its main component",0.4404,Positif
"Society 5.0 is the use of modern technology, but still relies on humans as its main component. With humans as the main component, this concept will create a technological development that is able to minimize the gap in humans. This concept is a refinement of various previous concepts. Society 5.0 comes with the concept that all technology is part of humans themselves. This means that the internet is not only useful for sharing information and analyzing data, but also for living life. Thus, a balance will be created between the role of humans (society) and the use of technology.",0.6947,Positif
"That's good, because it really helps human activities",0.6997,Positif
"In my opinion, the development of society 5.0 is a progress that can be seen, but any progress that exists, such as the emergence of big data, etc., does not rule out the possibility of still needing humans in how they work.",0.6808,Positif
Can,0.0,Netral
"In my opinion, this will make work easier but will reduce employment opportunities for an accountant.",0.6486,Positif
"In my opinion, the existence of artificial intelligence really helps work and saves time",0.7178,Positif
It's actually good but in my opinion this will cause laziness for students to study,0.2382,Positif
I think it's very good and important for today's era of globalization,0.6436,Positif
This is natural because it follows the rapid development of technology,0.3612,Positif
I think it's normal in this era of increasingly advanced technology,0.25,Positif
Very helpful,0.4754,Positif
I think today's technological developments are very good for us accountants,0.4927,Positif
Little helps,0.3197,Positif
"In my opinion, this is very reasonable, because in today's era there must be a lot of rapid technological developments. but with that, it makes me or all of us who are majoring in accounting have to be more serious in learning more sophisticated tools.",0.6652,Positif
In my opinion society 5.0 really helps us in doing work that we cannot know,0.4391,Positif
I think it's very good and very helpful for many people in today's era.,0.742,Positif
"In my opinion, being based on society 5.0 makes it very easy for accountants to manage their finances, but as a substitute for human resources. Maybe I don't agree because there are so many certain things that cannot be replaced by machines or substitute intelligent robots.",0.7579,Positif
"In my opinion, it will have a negative or positive impact, which can threaten jobs related to accounting, but the positive impact can make us want to learn new things again and learn new things again",0.6705,Positif
"This era is driven by advances in big data, robotics, and artificial intelligence that enable humans to create innovative solutions to social and environmental challenges.",0.8442,Positif
"a concept that enables humanity to use modern technology-based science such as AI and robots to meet needs and make human life easier.
can increase the role of humans and maximize human resources, so that they can overcome or anticipate global trends that have emerged in the industrial revolution 4.0.",0.6249,Positif
"I think the emergence of the era of big data, robotics and artificial intelligence has had a lot of impact on society itself because of the current modern era.",0.4767,Positif
I think that's interesting,0.4019,Positif
"In my opinion, this has its own pros and cons. Where, of course, with more and more technology. Human functions will also be replaced, but work will also become more efficient and more thorough.",0.6297,Positif
"In my opinion, in the future, if society emerges, it will be better because I, as an accounting student, will try to learn about technology",0.4404,Positif
"In my opinion, the emergence of big data, robotics and artificial intelligence is very helpful and makes it easier for the future.",0.8399,Positif
"In my opinion, the emergence of robotic big data and artificial intelligence is natural because it keeps up with the times",0.6808,Positif
I think that's very agreeable,0.4754,Positif
very reasonable because technology has advanced in the current era,0.25,Positif
"In my opinion, a human-centered and technology-based concept",0.0,Netral
"In my opinion, society 5.0 is very helpful in today's era, with the rapid development of the times, various technologies have emerged and one of them is society 5.0 and has also been recognized globally.",0.4754,Positif
with the existence of society 5.0 can meet the needs and facilitate human life,0.0,Netral
I think it will really help the accounting profession in the future to manage data etc.,0.4576,Positif
"With the emergence of society 5.0, where human life is facilitated by technology, and

Read detikbali's article, ""Society 5.0 where human life is made easy by this technology",0.4404,Positif
My opinion is reasonable because the times as well as civilizations are increasingly advanced and we cannot refuse that,0.6108,Positif
"Society 5.0, which is the era of the emergence of big data, robotics, and artificial intelligence, really helps lighten human work (provides positive benefits). With the existence of various applications of artificial intelligence, some human jobs will tend to be completed quickly and more efficiently. However, apart from bringing positive benefits, the emergence of this era will also greatly affect a number of professions that will be replaced.",0.9752,Positif
will reduce difficulties in doing assignments or others and can help students to more easily do the assignments given,0.4927,Positif
Later it will begin to shift the human position,0.0,Netral
"There is a good and threatening side to the profession, the good side is that everything is made simple by using modern technology",0.34,Positif
from a loss side it really threatens the profession of the human itself and from a profitable side it can speed up the performance carried out,-0.3167,Negatif
In my opinion society 5.0 is a development of information technology which of course can affect various aspects.,0.0,Netral
"In my opinion, about society 5.0, which made many big changes with the emergence of robotic skills and artificial intelligence, it has positive and negative impacts. make human resources manually no longer needed",0.2023,Positif
"This means that the internet is not only useful for sharing information and analyzing data, but also for living life. This technology is part of being human",0.0508,Positif
"The era of society 5.0 is a continuation of the era of society 4.0 or the internet era. The era of society 5.0 is synonymous with Artificial Intelligence which is more sophisticated than just the Internet.
AI brings both positive and negative impacts. In my opinion, if AI is not balanced with social empathy, it will replace and destroy human functions.",0.5256,Positif
"For society 5.0, to be honest, I don't understand",0.5106,Positif
"Good, because it can help human work, but it can also be a threat because it can replace human work",-0.4215,Negatif
"In my opinion, this is a rather worrying thing for humans, because it could reduce employment for humans",-0.34,Negatif
"Good, humans will be increasingly helped by the existence of qualified technology.",0.4404,Positif
"Society 5.0 is a concept developed by the Japanese government as a vision for a future society. It describes an era in which information technology, big data, robotics, and artificial intelligence (AI) play a role in advancing society and human life.

This approach has interesting potential. The use of big data can provide a better understanding of people's needs and preferences, thereby enabling governments and organizations to make better decisions and provide more effective services. For example, by collecting and analyzing health data, governments can identify health trends and better direct resources to address diseases or outbreaks.

Robotics and artificial intelligence can also contribute to increasing productivity and efficiency in various sectors, such as industry, transportation or health services. Robots and AI can perform repetitive tasks with great precision and speed, allowing humans to focus on jobs requiring specialized skills or human interaction.

However, there are several considerations that need to be considered in implementing Society 5.0. First, it is important to ensure that these technologies are applied wisely and within the proper regulatory framework. This is to avoid negative impacts, such as loss of human work or privacy issues involving widespread use of data.

In addition, keep in mind that not everyone has the same access or ability to adopt and utilize this technology. In realizing Society 5.0, attention must be paid to the digital divide, so that there is no further social separation between those who are able to keep up with technological developments and those who are left behind.

Overall, Society 5.0 offers the potential to improve human life and society as a whole through the use of big data, robotics and artificial intelligence. However, its implementation must be carried out carefully, taking into account ethical, regulatory and social inclusion aspects to ensure maximum benefit for the entire population.",0.9919,Positif
there are some positive and negative impacts about it,-0.0258,Negatif
Actually this is a negative impact on students because maybe at this time many students or students misuse current technology so that they lack knowledge or in small matters such as the lack of human resources who like or are interested in reading,-0.5046,Negatif
In my opinion it is very good because it makes it easier to use data so that it is faster together with its efficiency in Big Data Processing.,0.8173,Positif
I think it's quite troubling for the future because most human workers can be replaced by robotics,-0.5849,Negatif
"AI really helps human activities, but on the other hand humans also have to learn again and adapt to technological advances such as in industry 4.0",0.7389,Positif
"In my opinion, it is very easy, effective and instant.",0.763,Positif
"If there are big data robotics and artificial intelligence, human performance may not be needed, but actually it's humans who make big data, etc., so we now have to follow the trend and really have to understand IT so we don't get pushed aside by the times.",0.2617,Positif
"Good, the level of modernization is constantly growing. Human needs are getting easier to fulfill through the results of technology. Besides that, the negative effect that arises from this modernization is that we must increase our capabilities so that we are not inferior to technology that was born from technology makers.",0.8465,Positif
It's easier to do work,0.4215,Positif
"With society 5.0, it has both good and bad impacts. However, I see in our daily life. Society 5.0 has a lot of bad effects, we specifically as students with chatgpt make most students use it in the wrong way. Some even make articles and papers via Chatgpt.",-0.802,Negatif
to simplify and meet the needs of everyday human life.,0.0,Netral
very helpful and easy work,0.7397,Positif
"I have positive and negative arguments about this, my positive argument is because it can be more efficient in carrying out activities or work carried out by humans, the negative argument is because robotics can reduce human employment because it is replaced by robotics",-0.5868,Negatif
"With the existence of Society 5.0, it might be able to help humans in some jobs which are indeed rather difficult if done without technological innovation",-0.2462,Negatif
This era causes significant changes in all sectors of human life which are more profitable in terms of time efficiency etc,0.7574,Positif
In my opinion society 5.0 is an era in which all things can be done easily without the need for a lot of effort and all things related to technology will be increasingly widely used in various fields of life,0.34,Positif
"It is very helpful for work, especially nowadays, humans want something that is practically easy and fast",0.762,Positif
"Society 5.0 to increase efficiency and productivity in various sectors, as well as reduce negative impacts on the environment and help achieve sustainable development goals.",0.5994,Positif
To improve efficiency and productivity in various sectors,0.6597,Positif
"In my opinion, the existence of technology 5.0 has really helped me personally in carrying out my activities, my lecture activities have been quite helpful.",0.4754,Positif
Yes,0.4019,Positif
"In my opinion, society 5.0 is good but not effective because it only benefits those who make it and benefits people who understand the problem.",0.2189,Positif
"For me, it is enough to provide convenience for daily activities.",0.0,Netral
"In my opinion, with this progress, human ability is decreasing and it is better to balance it between humans and tools",0.8151,Positif
It will shift a lot of activities and professions related to IT,0.0,Netral
"I think it all comes back to each individual"" how to adapt to all of that",0.0,Netral
Sufficiently helpful/facilitating in the completion of tasks/jobs,0.0,Netral
"It is undeniable that technology greatly facilitates everything today. certainly a lot of facilities / advantages that exist. but of course there are also negative effects that arise, especially technology / robotics that can replace humans.",-0.5574,Negatif
"the vision of the future described by Japan which focuses on the application of high technology such as IoT and AI to increase efficiency and productivity in various sectors, as well as reduce the negative impact on the environment and help achieve sustainable development goals",0.7096,Positif
"According to me,",0.0,Netral
My opinion about society 5.0 will influence many things that will happen in the future,0.0,Netral
"In my opinion, in this era it is a new challenge for people who work in the economic field, because they can all be replaced by the automatic performance of robots, even though the operation still uses human hands, but of course this makes job opportunities narrower",0.5499,Positif
"My opinion about society 5.0 can actually have a positive impact when used well, as usual getting information easily.",0.7964,Positif
According to me it is very good where there is progress in terms of technology which shows evidence of the rapid development of the times,0.7178,Positif
"In my opinion it helps. With the development of technology, everything will be easier.",0.6597,Positif
"In my opinion, the emergence of big data, robotics and artificial intelligence is very good because it proves that the era is getting more advanced and modern and makes it easier for us in a number of ways, but the negative impact is when society 5.0 appears, many students misuse it and instead depend on artificial intelligence so they are increasingly lazy to learn.",0.1761,Positif
"Helping in everyday life, especially in work activities where increasingly sophisticated technology can speed up and make it easier for workers",0.8225,Positif
Very interesting,0.4576,Positif
Very helpful in an increasingly modern life by facilitating and expediting productivity in various public sectors.,0.4754,Positif
"Overall, if it is used properly and according to its function (not dominating humans) it will really help humans in their daily lives.",0.5968,Positif
"If it's still useful and within reasonable limits, no problem",0.6319,Positif
can help humans by facilitating work,0.4019,Positif
I think with this it can make us more lazy,-0.4201,Negatif
will have a positive impact on facilitating human work but will also be detrimental in several fields of work,0.3182,Positif
the emergence of this is enough to help us carry out the completion of the tasks,0.4019,Positif
Good. Lighten the job,0.4404,Positif
"with this era can advance existing technology. Apart from that, the existence of this era can also help facilitate the carrying out of a job",0.4019,Positif
"society 5.0 really helps people in life. It's like we don't need to read a physical book if we want to find answers from our heads, but we can use digital books provided by internet search services.",0.4304,Positif
"Quite worried, because in that era personal data will be vulnerable to publication and the number of professional jobs will be reduced and replaced by big data, robotics and artificial intelligence",0.0018,Positif
The emergence of society 5.0 will have positive and negative impacts on society,-0.0258,Negatif
"So the Society 5.0 concept can overcome the challenges faced by modern society, especially for all of us as students. especially with this concept combining existing technologies, such as big data, robotics, and artificial intelligence, Society 5.0 is the hope for more efficiency and progress in the future.",0.9033,Positif
"really looking forward to it, people are more helped by it",0.0,Netral
"I think it's good and useful, because with big data, robotics, and artificial intelligence, all work can be done easily, and the data needed to make decisions is more accurate because the data needed is presented more fully",0.8834,Positif
"Of course this can make it easier for us to carry out our lives, but it needs to be studied further regarding the impact that will occur if this era continues to develop",0.2263,Positif
