"Menurut Anda, apakah muncunya society 5.0 berdampak pada semua bidang profesi akibat adanya big data, robotic dan kecerdasan buatan?",Compound_Score,Sentiments
"So far, I've focused solely on the influence of artificial intelligence on finance. It could be that there is artificial intelligence that can later be used automatically without human assistance, so the data can be processed more quickly and accurately. There is one more profession, such as ordinary shop employees, of which some are already using robots for service work. And in fact, there are shops that don't recruit employees at all because they are controlled by the store's CCTV and customers are required to do self-service. This also has an impact on increasing labor unemployment if a person is not creative.",0.58,Positif
can,0.0,Netral
"Yes, so dependent on technology",0.4019,Positif
"Yes, the emergence of society has indeed had a significant impact on various professional fields due to advancements in big data, robotics, and artificial intelligence (AI). These technologies have transformed the way we work, communicate, and interact with information.",0.765,Positif
"Yes, almost all",0.4019,Positif
"have an impact, such as human work being replaced by robots or machines.",0.0,Netral
"It has an impact, because the existence of AI will make it easier for humans to process data. Although still needed an accountant",0.4215,Positif
"There are several professions whose position is threatened by being replaced by AI, because a company will spend less on salaries for its employees",-0.4588,Negatif
I think it has an impact because the existence of society 5.0 will affect all professions where this appearance will make it easier to help work in each field,0.6705,Positif
"In my opinion, not all professions, because there are several professions that in my opinion cannot be replaced by AI, such as doctors, psychiatrists, or professions that involve critical thinking that also involve instinct.",-0.3182,Negatif
"not all, because there are several professions which, although technological advances cannot replace the role of these professions, one of which is educators, can indeed be replaced with artificial intelligence, but not all technologies can use feelings to understand their respective students.",0.6956,Positif
It has an impact,0.0,Netral
"In my opinion, not all, but most of them can replace the professional fields that are carried out by humans because there are already more sophisticated robots",0.7461,Positif
of course society 5.0 has an impact on several professions. now more and more professions are using the innovations of this era of society 5.0.,0.0,Netral
"The development of technology has changed the role of humans in many ways. Many jobs have indeed been able to be replaced by machines, but this has also been accompanied by the development of human abilities in various new things.",0.3612,Positif
"Yes, because with the advancement of technology, all the activities carried out become practical.",0.4019,Positif
Yes. all professional fields are affected by the existence of society 5.0. maybe this really can help them in helping to get the job done but if this artificial intelligence is too smart it can replace human positions in all jobs and this is not good,0.8285,Positif
very impactful for all of us,0.0,Netral
not all when some still use manual,0.0,Netral
Not all because there are some who still use the manual,0.0,Netral
"Yes, because the profession is related to technology",0.4019,Positif
"Yes, one of them is the risk of job loss due to widespread automation and robotization.",-0.1779,Negatif
"Yes, the emergence of society 5.0 has an impact on all professions.",0.4019,Positif
I think so,0.0,Netral
"yes, impact",0.4019,Positif
It has an impact,0.0,Netral
It has an impact on almost all fields,0.0,Netral
"Yes, in the era of society 5.0, in the era of society 5.0, almost all fields of white-collar work can be replaced, which basically rely on intellectual ability. AI is not only a device that will help humans, it can also replace humans. All professional jobs such as engineers, doctors, accountants and lawyers can be replaced.",0.875,Positif
"Yes, the emergence of Society 5.0 will have an impact on all areas of the profession, including the accounting profession. This is because the development of big data technology, robotics and artificial intelligence will affect the way of work and demands in various professions.",0.7003,Positif
in my opinion some will be affected but not all because not all human work can be replaced by technology because as sophisticated as technology is human work is still needed,0.6808,Positif
I think it has an impact,0.0,Netral
"Yes, because abroad there are lots of big data, robotics, and artificial intelligence that have displaced humans in the job market. As a result of the speed of access to technology, it is faster and generates maximum profits for the company. And it also has an impact on the birth rate of a country which prefers to dwell on technology.",0.8481,Positif
"Yes, the emergence of Society 5.0 can have an impact on all professional fields, including accounting, finance, information technology, health, education, and others.",0.4019,Positif
I don't think all professions are affected,-0.1531,Negatif
"yes, because the concept of society 5.0 allows humanity to use modern technology-based science such as AI and robots to meet needs and make human life easier.",0.6705,Positif
"yes, I think it has an impact",0.4019,Positif
"I don't think so, because the operation of this technology must have been designed by human genius, and it definitely needs to be continuously developed. so for sure (wallahu alam) there are professions that cannot be replaced",0.6461,Positif
"In my opinion, not all professions will have an impact on the emergence of society 5.0",0.0,Netral
"As far as I know, of course there are several professions that are shifted in certain fields and it is also a challenge for yourself to further improve things that artificial intelligence or AI do not have.",0.8126,Positif
"Not all fields, maybe in other professions such as psychology cannot be replaced because the profession is not systematic",0.0,Netral
Impact,0.0,Netral
"the emergence of society 5.0 in my opinion has an impact on all fields. however, this impact also cannot be replaced completely in all professional fields.",0.0,Netral
"impact, because of course humans will be replaced by technology",0.0,Netral
"Yes, because the concept of society 5.0 allows humanity to use modern technology-based science such as AI and robots to meet needs and make human life easier.",0.6705,Positif
"Possible impact on several professions, especially in the administration section.",0.0,Netral
"Some have an impact, some don't",0.0,Netral
can,0.0,Netral
"Society 5.0. will enable companies to carry out more accurate data analysis, faster product production and distribution, as well as reduced production costs. This can help companies to be more efficient and productive, but it will definitely replace some professional fields, especially in the public service sector. And in the future it will definitely create social inequality and unemployment.",0.8536,Positif
Not all,0.0,Netral
"Of course I do, it has positive and negative impacts.",-0.0258,Negatif
Of,0.0,Netral
"I don't think so, because there are professions that cannot be replaced by society 5.0, such as the profession of a sculptor and painter",0.0,Netral
"Maybe not in all fields, but it has an impact on workers who rely more on the strength of their bodies. This can be replaced with rebates and increase the number of unemployed.",0.844,Positif
"It's very impactful, especially in the field of accounting where if there is a society 5.0, the work of accountants that are usually done by humans will be replaced with robotics or the like. HR can be disrupted if a robotic behavior takes over the accountant's job",0.3612,Positif
Impact,0.0,Netral
"Yes, because the robots are designed to do something that is in accordance with the current professional field.",0.4019,Positif
"There is no impact on the current generation because the current generation is smart and easy to understand, but can the Soviets be for all people, not just the current generation, considering that Indonesia is not like Japan, which proposed society 5.0",-0.1192,Negatif
"not all professions are affected by society 5.0, but almost all professions are affected by it",-0.296,Negatif
It will most likely impact all areas of the profession,0.0,Netral
"yes impact. has great potential to have a significant positive impact on various aspects of life, such as in the economic, environmental, health and education fields",0.9042,Positif
"In my opinion, not all professions. There are also several professions that cannot be replaced by artificial intelligence.",0.4767,Positif
Yes it will have an impact,0.4019,Positif
Of,0.0,Netral
It has an impact because workers who are in the lower class like those in factories will be replaced and are no longer needed and eventually unemployed because their jobs are replaced by robotics,-0.2263,Negatif
"Having a good impact will make a job easier, and having a good impact will cut some areas of work",0.7579,Positif
of,0.0,Netral
"the concept of society 5.0 has a positive impact on solving social problems as well as economic development. In facing major changes in the world and digital transformation, the emergence of technologies such as AI, IoT, robotics, machine learning, and data processing can facilitate human life. This concept helps in increasing production and reducing unemployment, supporting sustainable industrialization, redistributing wealth, and reducing social inequality. That way, society 5.0 can realize the achievement of economic development and solutions to social problems in parallel.",0.8481,Positif
Yes,0.4019,Positif
Of,0.0,Netral
Can,0.0,Netral
"In my opinion, it does not affect all areas of the profession.",0.0,Netral
"There are not several professions that do not have an impact, one of which is medicine",0.0,Netral
very impactful,0.0,Netral
It could have a negative impact if used incorrectly with negative things,-0.8126,Negatif
"Not all of them have an impact because after all, every job requires human power as the operator of the available technology",0.0,Netral
Not all of them have an impact because even though they use robots they still need human power/intelligence,0.0,Netral
No,-0.296,Negatif
Actually influential but we have to be smarter again,0.714,Positif
No,-0.296,Negatif
"yes, because with the existence of society 5.0, very little human resources are needed. especially if we properly study the current technology.",0.4019,Positif
I think there must be an impact because artificial intelligence is simpler,0.4767,Positif
"Yes, it's very impactful because it doesn't require too many workers because all systems have been worked on with society 5.0",0.4019,Positif
"Yes, there is an impact and there are also benefits because all people can know things that they don't know yet.",0.6486,Positif
"Maybe there will be less human resources needed, and this can also increase existing unemployment. But if there is a trigger for the emergence of this society that can reduce social inequality, maybe I agree with the emergence of tools that facilitate this.",0.4497,Positif
yes it will have an impact,0.4019,Positif
This concept can have an impact on various fields of profession because of the growing technological capabilities.,0.1779,Positif
"the existence of technology-based learning innovations that make it easier for students to learn without knowing space, time and place.",0.4215,Positif
"In my opinion, not all professions have an impact because of this society 5.0.",0.0,Netral
"Yes, because we really have to keep up with developments, right?",0.4019,Positif
"Of course it will have an impact, the more artificial intelligence. Of course, limited human knowledge and memory will be matched by AI.",0.3566,Positif
"I think yes, because all professions will be handled by it, so human resources will decrease in a company",0.4019,Positif
I think it will be very impactful,0.0,Netral
"In my opinion, not all of them have an impact on all areas of the profession because of big data robotics and artificial intelligence",0.4767,Positif
"Yes, because we do have to keep up with developments",0.4019,Positif
"does not have an impact on all fields, only in a few fields that have been created by the technology
but if the technology already exists, the impact may be very large because the humans are no longer needed.
Possible",-0.3182,Negatif
The internet is only useful for sharing information and analyzing data but also for living life.,0.431,Positif
I think it's influential,0.4404,Positif
"Yes, it has an impact, because apart from facilitating human life, the existence of Society 5.0 also has a negative impact on the professional sector",-0.25,Negatif
It seems yes if you follow the existing developments,0.4019,Positif
"No, because not all professions require robotics and big data.",0.0,Netral
"In my opinion, if there is a society 5.0 that allows humanity to use modern technology-based science such as AI and robots to meet needs and make human life easier.",0.4215,Positif
"I think it has an impact, as evidenced by the many technology-based products",0.0,Netral
"Yes, almost all fields will be affected. Whether it's a positive impact (alleviating work) or a negative impact (some roles are replaced)",0.25,Positif
yes,0.4019,Positif
"It will have an impact, from the positive side the performance will be faster. From the negative side, there must be mistakes due to lack of thoroughness",-0.5994,Negatif
impact because certain professions can be replaced,0.2732,Positif
"very impactful, especially in times like this and on average"" 80% of professions already use sophisticated tools as mentioned",0.7479,Positif
According to the power of course the era of society 5.0 will affect all fields because at this time everything starts to use technology.,0.0,Netral
"According to me, the emergence of society 5.0 has had a huge impact on all fields of the profession apart from accounting. This artificial intelligence is increasingly available in various professions and is increasingly advanced with the existence of big data and robotics.",0.7506,Positif
"In my opinion, it will probably have an impact on most professions, more on the accounting profession, whose fields can be replaced",0.0,Netral
"No, I don't think AI has an impact on all aspects of the profession. one of which requires emotional and critical thinking between fellow beings, be it between humans and humans and humans and other creatures such as special school teachers, babysitters and so on.",0.25,Positif
Maybe it depends on each person's individual abilities,0.25,Positif
"Not all, for example teachers, because teachers have an emotional connection that robots don't have",0.1531,Positif
"Maybe it has an impact on all areas of the profession, the proof is that in doing heavy or light things, everything can be managed by the system",0.0,Netral
"Of course, but humans are also the ones who created society 5.0, right? So, of course that thing has a lot of flaws, and it's still a perfect human.",0.8201,Positif
"The emergence of Society 5.0 with big data, robotics and artificial intelligence has the potential to impact various fields of the profession. Some of the areas that may experience significant changes include:

1. Industry and Manufacturing: Robotics and automation can change the way production is done and affect employment in the industrial sector. Jobs that are routine and repetitive are likely to be replaced by robots, while jobs that require creativity, complex problem solving and human interaction will remain relevant.

2. Transport: Advances in autonomous vehicles and intelligent traffic management can transform the transportation industry. Human drivers might be replaced by vehicles controlled by artificial intelligence, and transportation systems could be optimized with big data analysis to reduce congestion and increase efficiency.

3. Healthcare: Big data and artificial intelligence can have a huge impact on healthcare. Big health data analysis can help in early diagnosis, drug research, and more effective treatment. Robotics can also be used in precision surgical procedures and real-time patient monitoring.

4. Education: The use of technologies such as artificial intelligence and big data can change education in significant ways. Adaptive learning systems can be adapted to the individual needs of students, and the data collected can provide insight into student performance and assist in the development of more effective curricula.

5. Finance and Banking: In the financial industry, big data can be used for risk analysis, increased security, and the provision of more personalized financial services. Robotics and artificial intelligence can also be used in the process of automating routine tasks such as processing insurance claims or managing investment portfolios.

However, it should be noted that the impact on each area of ​​the profession will vary. Some jobs may be reduced or replaced by technology, while others may change or require new skills. It is important to continue to develop skills relevant to evolving technologies and prepare the workforce for these changes. In addition, these changes can also create new opportunities and generate jobs that did not exist before.",0.9927,Positif
"In my opinion, not all professions such as teachers who teach love for fellow human beings are replaced by robots that have no feelings",0.4588,Positif
"I think it will have an indirect impact. But in my opinion, as sophisticated as technology is, it will definitely require humans to use it. This becomes homework for students or students to improve their soft skills with others",0.9231,Positif
"It really has an impact on big data robotics and artificial intelligence because later the process can be replaced, not the beginning and origin of its manufacture",0.4767,Positif
"Yes, it has an impact because it can result in reduced job vacancies",0.4019,Positif
"Yes, it has an impact, but some professions are not 100% affected, such as clothing design, etc. because design follows a trend, and even if AI can make a design, it can only help, not create a new idea.",0.592,Positif
"The emergence of society 5.0 has an impact on all professions, whether it's a little or a lot.",0.0,Netral
"Yes, it has an impact on the profession, professions that are no longer needed will be removed by robots that can make all work more efficient",0.5563,Positif
Of course yes. Technology is present as an evolution in human life,0.4019,Positif
"Of course there is because the existence of big data, robotics, and AI greatly facilitates work in various professions",0.0,Netral
"In my opinion, yes, because every profession will always be related to technology as this science develops. However, not all of these professional jobs can be replaced by technology",0.4019,Positif
"have an impact, because with the existence of society 5.0 it makes it easier for us to carry out our daily activities",0.4215,Positif
yes there has been a transformation in various aspects that has caused several professions to be threatened,-0.0772,Negatif
I think it has an impact on all professions because robotics can be programmed to perform tasks or jobs in certain fields,0.2732,Positif
could have an impact on all if more efficient robotics were used,0.4754,Positif
society 5.0 has a great impact in the professional field,0.6249,Positif
"Yes, all fields of work will be affected, although not all fields will be greatly affected",0.0534,Positif
"Yes it is very impactful, there is a good impact maybe because it really helps work and also saves time, and the bad impact is that humans will be shifted from work",0.6115,Positif
What impact will it have on an accountant whose position is seriously threatened by technological advances in the global era where robotic systems will emerge to help compile company financial reports.,-0.25,Negatif
"It greatly impacts the career of an accountant which causes a change in human power to robots, causing many accountants to be unemployed",0.0,Netral
"In my opinion, most professions have started or have even adapted to Artificial Intelligence.",0.4767,Positif
Yes it is very impactful because it is more efficient,0.6997,Positif
It has an impact because in the future maybe all jobs or professions will use artificial intelligence,0.4767,Positif
"The emergence of Society 5.0 has had a significant impact on all areas of the profession as a result of developments in big data, robotics and artificial intelligence. Society 5.0 describes a digitally connected society in which information and communication technologies play a central role in everyday life.",0.743,Positif
"Yes, of course it has an impact because it can cause premature unemployment due to less human resources being used",-0.0516,Negatif
"Yes, because generally now they use fast activities",0.4019,Positif
Everything has an impact but behind it all there are positives and negatives,0.6808,Positif
"Very, because it does not rule out the possibility that increasingly developing technology will not only help us in terms of work but might be able to replace our work role.",-0.1603,Negatif
"I don't know for sure, but in accounting maybe I think this will definitely have a safe impact on future job prospects. the existence of AI or robotics certainly plays an important role in more effective and efficient work.",0.9781,Positif
"Yes, impact",0.4019,Positif
"In my opinion, the emergence of society 5.0 has an impact on all fields of the profession",0.0,Netral
I think it has an impact on all fields because technology can cover everything,0.0,Netral
"yes, because now everything depends on the speed of the system by technology, starting from health, information, education and up to people working in the field such as technicians etc.",0.4019,Positif
"I think it has an impact, because it is very helpful in various fields.",0.4754,Positif
"Almost but not all professions can be replaced, so I don't think it has an impact on all existing fields",0.0,Netral
"It is possible that it will have an impact on all areas of the profession. Examples include accounting applications for preparing financial reports. This affects the accounting profession. But still it must be run by an accountant. So in my opinion, no matter how much robotics, big data, etc., I think the accounting profession is still needed, it's just that maybe not a lot and it has to be with good accountant quality.",0.5774,Positif
"Not all professional fields will have an impact because even though big data, robotics and artificial intelligence have emerged, there will be some things they cannot do. because as sophisticated as they are, that's what makes humans",0.7717,Positif
"Yes, including in the medical world where this profession really needs sharp accuracy and a lot of human error",0.0,Netral
"Yes, the more efficiency of labor into technology",0.6697,Positif
"Yes, all fields because it is very helpful in any way, reducing the negative impact on the environment and helping to achieve sustainable development goals",0.5095,Positif
"Impact, because it can help human activities.",0.4019,Positif
"No, because there are still professions that cannot be replaced by big data, robotics and artificial intelligence",0.4767,Positif
"not all of them, there may be several professions",0.0,Netral
"very impactful, because later jobs will be replaced by robots so that no need for experts anymore",-0.3566,Negatif
not all,0.0,Netral
Yes,0.4019,Positif
"It could be, because all humans want convenience and efficiency which ultimately tends to the desire to enter all fields of the profession",0.6705,Positif
maybe like that because at this time most of the activities have been using electronics. it can be concluded that all of these professions will be affected and there will be influences due to this era.,0.2263,Positif
"no, there are some professions that cannot be replaced by artificial intelligence such as for example doctors because they require direct physical contact with patients and in my opinion this artificial intelligence does not eliminate work but helps lighten work",0.7579,Positif
"Yes, because there are distinct advantages from implementing big data, robotics, and artificial intelligence over humans",0.8074,Positif
Very impactful,0.0,Netral
"However, there is still a bad impact, for the students themselves they are more dependent on instant answers, usually I access them through the GPT Chat, but the good effect is that I can immediately know the point and meaning of something I will be looking for an answer for or easily is the point.",0.6908,Positif
what we can be certain of is,0.2732,Positif
"yes, both negative and positive impacts will definitely have an impact on all professions",0.6486,Positif
"For now, chat got still can't analyze the data in more detail because they don't have access to it. So that the profession as an analyst and the like can be said to have no impact",0.0772,Positif
"No, because there are some fields that cannot be replaced, for example those related to personality as a doctor, psychologist, face to face must be done by a professional human being",0.0,Netral
"Yes The impact here is not always negative, it could have a positive impact. For example in the medical profession, the existence of artificial intelligence is of course very helpful.",0.9381,Positif
"impact, and the emergence of society 5.0 makes everything practical",0.0,Netral
"Not all, because the development of AI will not be able to completely replace the role of humans",0.0,Netral
"No, it is possible that the professional fields that will be affected are fields that are indeed repetitive activities so that this can be replaced by robots or computerized machines.",-0.3818,Negatif
"In my opinion, no, the emergence of society 5.0 will not have an impact on all areas of the profession, such as the psychology profession, where there will be no technology that can have instincts that prioritize feelings like humans.",0.0772,Positif
Can,0.0,Netral
"Not all, because like the field of the medical profession, it cannot be replaced by machines or anything else.",-0.2755,Negatif
maybe it will affect everything. or it could be that all professions will be replaced,0.0,Netral
"In my opinion, yes, because with the advancement of society 5.0 technology. Professions that originally could be done by humans because of this progress, can take over professions. For now maybe only a few professions are taken by technology, in the future maybe humans can be replaced by technology.",0.714,Positif
Can.,0.0,Netral
"I think it's affected, because of course technology will be applied by all humans. Like it or not they will also apply the latest technology and must accept its development.",0.5423,Positif
Not all professions,0.0,Netral
"I think yes, it really has an impact on all professions. Because digital technology can shift work done by humans because it is faster and more efficient, although not all work from AI or robots is always correct because program errors can occur.",0.5256,Positif
"Possibly yes, because the extent of technological developments to date has erased some of the jobs that previously existed",0.4019,Positif
"In my opinion, there are some areas of the profession that are affected, but in some professions that are not affected",0.0941,Positif
The majority of professions are affected by Society 5.0 both in positive and negative terms.,-0.1779,Negatif
"Maybe it will have a big impact on the profession with a human workforce, but again maybe we as humans who should have a position above the results of their creations can control things that are not desirable to happen",0.2399,Positif
"I think it has an impact, because AI tends to be able to do anything in some jobs in various professions.",0.0,Netral
"I think yes, the emergence of Society 5.0 with the use of big data, robotics and artificial intelligence is expected to have an impact on various professional fields.",0.7003,Positif
"In my opinion, the emergence of society 5.0 will have an impact on professions that do use logical thinking because society 5.0 tends to use logic as the basis for calculations or analysis.",0.0,Netral
"The emergence of society 5.0 does not have an impact on all professions, for example, the medical profession, but indeed there are several professions that can later be replaced by the emergence of society 5.0.",0.0,Netral
"It has an impact because human work has begun to be realized, half of which is done by AI",0.0,Netral
Can,0.0,Netral
"Yes, of course",0.4019,Positif
Can,0.0,Netral
What an impact,0.0,Netral
Can,0.0,Netral
No,-0.296,Negatif
"Yes, a lot",0.4019,Positif
"No, because human skills are still necessary for some professions and cannot be replaced by AI",0.0,Netral
"Yes, because they make the job easier",0.6705,Positif
yes impact,0.4019,Positif
I think it will have an impact,0.0,Netral
very impactful,0.0,Netral
"No, auditors and public accountants can still do without robotics and artificial intelligence, because this requires an opinion and the basis for submitting an opinion is different for each auditor.",0.4767,Positif
"I think it will have an impact on all areas of the profession, especially with more sophisticated robots",0.6318,Positif
"Yes, the emergence of society 5.0 will certainly have an impact on all areas of the profession.",0.6249,Positif
"No, because there are several professions that will not be replaced by robotics",0.0,Netral
Impact,0.0,Netral
Yes impact,0.4019,Positif
"Not all professions. There are professions that can only be done by humans, cannot be done by robots or AI",0.0,Netral
No,-0.296,Negatif
It has an impact. But everything still needs humans to show what robotics and artificial intelligence are for. And making robots also requires humans to think.,0.631,Positif
"yes, in my opinion, technological intelligence is currently capable of having an impact on all fields, especially since there are still a lot of developments in technology.",0.8126,Positif
"very impactful, because robotic systems and so on will make it easier for us to carry out activities, for example, such as keeping records for the accounting profession.",0.4215,Positif
Not all because there are professions that require more professional judgment than using assistance such as big data and others,0.0,Netral
not all fields,0.0,Netral
"I think it will have an impact on all areas of the profession due to big data, robotics, and artificial intelligence because technology is definitely needed in the next few years",0.7003,Positif
"It has enough impact to narrow employment opportunities, but there are still things that have not been touched, namely related to skills in managing an organization",0.2023,Positif
"No, there are some who are not affected, such as psychologists, psychiatrists, etc",0.1139,Positif
"Of course, the impact is not direct",0.0,Netral
"In my opinion, all professions can be replaced by robotic technology. Robotic lambdas can already have feelings for their employers.",0.0,Netral
No,-0.296,Negatif
"No, because there are professions that really cannot be replaced, for example, farming.",0.0,Netral
impact,0.0,Netral
"Maybe it has an impact but not all of it, there are professions that are difficult to replace by machines such as those related to control and decision making.",-0.5023,Negatif
"Most of the professions may be replaced, but not all of them.",0.0,Netral
"Most likely yes. If we as humans cannot control these 3 things, there is a possibility that all areas of the profession can be affected and will be replaced.",0.3353,Positif
"In my opinion, yes it can. Because society 5.0 can solve a problem easily. It is not impossible that later AI can replace the profession of accountants, or robotics that can replace restaurant servers or other things such as replacing human labor. AI can replace the role of the human brain. and Big data makes it easier to search for large amounts of data.",0.7184,Positif
Can,0.0,Netral
"Of course it has an impact, currently technology plays an important role in human life",0.4215,Positif
not all,0.0,Netral
Most are influential,0.4902,Positif
I don't think so,0.0,Netral
"Yes, it has an impact on almost all fields of the profession",0.4019,Positif
very impactful,0.0,Netral
"For changes in a thing, of course there are adjustments that must be made to include these changes as elements that are used to everyday life. Of course the existence of society 5.0 will have an impact on all fields of the profession.",0.0,Netral
