"Menurut Anda, apakah profesi akuntansi merupakan salah satu bidang profesi yang terkena disrupsi?",Compound_Score,Sentiments
"No, because there is an analysis that can only be done by the accounting profession, especially an auditor. Because an auditor can see the honesty of a management who provides information related to companies with human instincts and that cannot be done by technology",0.4939,Positif
"It's possible, but for the basis of all big data processing and other artificial intelligence, knowledge from an accountant is still needed. so that the accounting profession is still very much needed.",0.631,Positif
"Indeed, it can be said that there is a significant impact, but it does not mean that an accounting order will experience a major leap change. Because an understanding of accounting will still be needed in the preparation of software or technology.",0.1027,Positif
of,0.0,Netral
"The accounting profession can be threatened if it does not adapt to technological advances. However, the work of the accounting profession which includes ethical dimensions, critical thinking, or matters concerning ideals is unlikely to be eliminated by technology. However, for me, technology is complementary, not a substitute.",-0.0258,Negatif
"In my opinion, it is possible, but no matter how advanced technology can replace humans, there are logical reasons, for example, because technology is still operated by humans.",0.3376,Positif
Yes Now there are lots of applications and software to make financial reports instantly.,0.4019,Positif
It is very likely that there will be several job descriptions that will be disrupted,0.0,Netral
"Impactful, but even more profitable and easier if there is some kind of application to process a report",0.855,Positif
"Yes, the disruption phase is a phase of change. Now the existence of this phase of change indirectly encourages the emergence of innovation and increases human creativity. So this is a strong impetus for the development of all fields including in the field of accounting.",0.891,Positif
Not yet,0.0,Netral
"In my opinion, accountants could be affected by this. You can see from now on cellphone and computer applications that there are many applications that make it easier for users to record income or expenses and immediately convert all these transactions into financial reports.",0.296,Positif
"Yes, of course. but it doesn't have too big an impact either, it's even better because with society 5.0, even small businesses can take advantage of various accounting applications to support their business so that they are more organized and precise in making decisions",0.8945,Positif
No,-0.296,Negatif
"Yes, where one example is that financial reports are no longer made by humans but can be replaced by AI.",0.0644,Positif
"it could be, but there are some aspects of accounting that cannot be replaced by AI",0.0,Netral
"Yes, there is a possibility that there will be cuts in the accounting profession's workforce if the accounting profession does not immediately respond to the phenomenon of society 5.0. Because information and knowledge are increasingly accessible, it does not rule out the accounting profession",0.128,Positif
"Yes. Now, applications are starting to emerge that facilitate the work of accountants in compiling financial reports. Only by entering transaction data, the application can automatically and quickly process this data to produce the desired financial report output. The emergence of integrated reporting also makes it easier to provide comprehensive reports, both financial reports, sustainability reports to other financial and non-financial information. Although this is a good thing because it can facilitate the work of accountants, the existence of advanced technology that can exceed human capabilities in doing their jobs can threaten the position of humans themselves. If in the future the company wants to cut its expenses a little, it is very likely that the company will cut the number of employees compared to reducing the use of more profitable advanced technology.",0.9095,Positif
No,-0.296,Negatif
The accounting profession is very likely to be disrupted,0.0,Netral
can,0.0,Netral
"Yes, because accounting is a profession that follows technological developments",0.4019,Positif
Can,0.0,Netral
No,-0.296,Negatif
It could be,0.0,Netral
"No, because the 5.0 era utilizes technological assistance to make work easier",0.4215,Positif
"Yes, in my opinion, the accounting profession will be disrupted by big data and robotics, but accountants will not be completely disrupted because each system will definitely need knowledge or double-checking on each system that is carried out and of course these checks must be carried out by an accountant who understands accounting the most and of course accountants also plays a role as a decision maker in a system created by artificial intelligence. But behind that all the work of an accountant in the future will definitely change, therefore as an accountant it will be much better to improve and add skills in the field of technology and programming which will support the ability of accountants in their own field",0.9853,Positif
I don't know,0.0,Netral
can,0.0,Netral
Maybe,0.0,Netral
No,-0.296,Negatif
"Yes, there will be changes to increasingly sophisticated financial reporting applications",0.743,Positif
"Of course, but the accounting profession still cannot be replaced by artificial intelligence (AI)",0.631,Positif
Of,0.0,Netral
Of,0.0,Netral
No,-0.296,Negatif
"Yes, it's possible, but I'm still not inclined because what will be replaced is the cashier or admin section or the like. Sections such as public accountants may not. More or less",0.6249,Positif
"Yes, the field of accounting is certainly one that has been and continues to be affected by disruption. The advent of technology, particularly the automation of tasks and the development of advanced software, has had a significant impact on the profession.

One of the primary areas of disruption in accounting is the automation of routine tasks. With the help of accounting software and artificial intelligence, many manual and repetitive tasks such as data entry, reconciliations, and basic calculations can now be performed quickly and accurately by machines. This has reduced the need for human involvement in these tasks and has freed up accountants to focus on more complex and value-added activities.

Furthermore, cloud-based accounting systems have transformed the way accounting information is stored, accessed, and shared. These systems allow for real-time collaboration between accountants and clients, eliminating the need for physical paperwork and enabling remote work. This has improved efficiency and streamlined processes in the field of accounting.

Additionally, advancements in data analytics and machine learning have enabled accountants to gain deeper insights from financial data. These technologies can analyze large volumes of data quickly, identify patterns and trends, and provide valuable insights for decision-making. Accountants now have access to more sophisticated tools for financial analysis, forecasting, and risk assessment.

While these disruptions have undoubtedly changed the landscape of accounting, they have also created new opportunities for accountants. The profession now requires accountants to develop additional skills such as data analysis, technology proficiency, and strategic thinking. Accountants who can adapt to these changes and embrace new technologies have the potential to thrive in this evolving field.

Overall, the disruption caused by technology in the accounting profession has led to increased efficiency, improved accuracy, and the need for accountants to acquire new skills. While some traditional accounting tasks may be automated, the role of accountants remains crucial in providing valuable insights, financial guidance, and strategic advice to businesses and individuals.",0.9889,Positif
"no, accounting has a process that only real humans can do that process",0.0,Netral
"In my opinion, it has an impact but not too significant, because the data must be run or carried out by accountants who know about the company's financial system.",-0.2235,Negatif
"No, because there is still a need for professional accountants",0.0,Netral
"If in the field of auditing, the auditor will not be threatened with work, but the AI ​​will help complete the work/project",0.6474,Positif
yes impact,0.4019,Positif
It could be,0.0,Netral
it could be,0.0,Netral
Can,0.0,Netral
it could be because there are already many accounting applications that are very easy to use,0.4927,Positif
"yes, accounting is one of the professions that will be affected by this society 5.0.",0.2732,Positif
"according to US News & World Report notes, the accounting profession will not disappear and is still very much needed. In fact, accountants are at number 13 on our list of best business jobs for 2021.

According to Accounting Today, accountants will be able to play a more strategic role, although some of their functions will be replaced by machines. The role of the accountant will expand. For example, as a business consultant and strategic partner who is not only responsible as a financial expert",0.8361,Positif
"No, because with an accountant the financial system can be controlled and regulated. So that we can know the financial system that is being undertaken.",0.0,Netral
"likely to have an impact. with increasingly sophisticated technology, the accounting profession can easily be replaced by artificial intelligence technology",0.8442,Positif
can,0.0,Netral
I don't think so,0.0,Netral
"Yes, because technological regulations are also developing rapidly",0.4019,Positif
it could be,0.0,Netral
"Yes, the accounting profession has experienced some disruption in recent years. One example of a disruption in the accounting sector is the introduction of cloud-based accounting software.",-0.3182,Negatif
"Yes, the accounting profession is a profession that will be disrupted",0.4019,Positif
"Maybe not, because managing financial problems cannot necessarily be done by technology, and still requires human power",-0.4019,Negatif
can,0.0,Netral
"Not always, because the accounting profession is also very important to be done by humans.",0.2716,Positif
"One of the disrupted, but not too bad in my opinion",0.5824,Positif
"Yes, because many use accounting computers such as myob, zahir, accurate, etc. This is because it is more effective and saves time and costs.",0.7264,Positif
"Yes, the accounting profession is one of the professional fields that has been affected by disruptions, especially due to advances in technology and automation. In recent years, technology has allowed companies to take advantage of more sophisticated and automated accounting systems, so that accounting work that was previously done by humans can be done by computers.",0.6801,Positif
"yes maybe, because nowadays there are also many fast calculating applications like excel and so on",0.802,Positif
I think it's possible,0.0,Netral
"Yes, because now there are a lot of big data such as accounting applications that can be used by ordinary people who have almost never studied accounting. Such as financial technology sales information systems.",0.4019,Positif
I think Yes,0.4019,Positif
"In my opinion, the existence of this latest technology will help us and make it easier to input accounting data. but still the representations and decisions taken from the data results cannot be replaced by robots because everything depends on the situation and conditions",0.4118,Positif
"yes, so the accountant must prepare time management, good time management, someone will be more organized in completing work.",0.6808,Positif
"Which, including in the affected profession disrupted",-0.1531,Negatif
"maybe yes and maybe not, because there are quite a lot of professions in the accounting field and also applications that replace them definitely need experts",0.6597,Positif
"Maybe yes, maybe no",0.128,Positif
"From what I've heard, accounting has been disrupted, but we as accountants have an advantage that AI doesn't have and that's what we have to develop.",0.3612,Positif
Maybe yes,0.4019,Positif
"Yes, because even though it's not perfect at this time, many large companies are developing artificial intelligence to solve problems in accounting.",0.2268,Positif
"In my opinion, yes, but the disruption here is more positive because it helps us process financial data.",0.8095,Positif
I think for now it has not had much impact. because the accounting profession still really needs human resources,0.0,Netral
"Yes, it is likely to be affected by disruption. This is also a challenge for accountants in competing against technology",-0.0258,Negatif
No.,0.0,Netral
"I don't think so because even though the era has progressed and everyone uses computers, accountants are still needed to check again",0.0,Netral
yes you can but not all of them because basically the accounting profession understands its work is the accountant itself. The accountant's work shifts to matters that are closely related to judgment and discretionary and the accounting profession must improve its skills.,0.705,Positif
"Yes, because with the existence of increasingly sophisticated and up-to-date big data, all financial flows and their analysis will definitely be replaced by data collection and analysis techniques that are always being developed by technology in this era of society 5.0.",0.8402,Positif
"Not all accounting professions are disrupted
Maybe jobs that don't require human sense will be affected",-0.1531,Negatif
I think so,0.0,Netral
Of,0.0,Netral
Can,0.0,Netral
Can be,0.0,Netral
"In my opinion, yes, because there is a possibility that accountants will disappear in the era of digital disruption.",-0.1779,Negatif
"I don't think so, because an accountant is needed everywhere even though the times are developing",0.0,Netral
"Yes, because if human resources are not improved then robots will take over this profession.",0.0377,Positif
It seems that it will lead to disruption because remembering that times are always changing,-0.3612,Negatif
"yes, because at this time there is already the use of ""applications"" that directly lead to accounting. And only entering transaction data, the results of the report have come out. But in my opinion, this is what disrupts the accounting profession",0.2144,Positif
Yes,0.4019,Positif
"YES, but not completely",0.2997,Positif
"Yes, because the accounting department's job tends to be to make reports and now it can be done through the application",0.4019,Positif
Can,0.0,Netral
Can yes and also no,0.128,Positif
No because accounting still needs humans to run it,-0.296,Negatif
That's right,0.0,Netral
of,0.0,Netral
"The probability that the accounting profession will be replaced by a robot is 95%. The magnitude
This percentage is due to the development of Robotics and Data Analytics (Big Data).
take over the basic work done by accountants. Therefore, Chief Executive
Briven Asia data officieer (CEO), Imran advises accountants to start studying
programming and algorithms and develop competencies that are important to a person
accounting, namely data analysis, and leader ship skills (Subur, 2019).",0.2023,Positif
Yes,0.4019,Positif
Of,0.0,Netral
Can,0.0,Netral
"In my opinion, yes",0.4019,Positif
No,-0.296,Negatif
"Yes, because don't have this, it will make it easier for us to find data",0.6705,Positif
No,-0.296,Negatif
"Yes, because the development of accounting itself is progressing from time to time, which used to be done manually, but now many are starting to use more sophisticated applications and systems.",0.8014,Positif
"Yes, because the development of technology makes everything easier",0.6705,Positif
Can,0.0,Netral
Yes a little hit,0.4019,Positif
Can,0.0,Netral
can,0.0,Netral
"Yes, because in the current era everything depends on younger things",0.4019,Positif
"Yes, maybe because all the work done by an accountant can be accessed by the society 5.0 system",0.4019,Positif
Can,0.0,Netral
"What is certain is that all professional fields, both accounting and others, will also be disrupted. Which can be replaced by sophisticated machines",0.6908,Positif
"Not because every company or any job needs the role of an accountant so it will continue to be needed, but it needs the development of science and knowledge to deal with it so it doesn't get disrupted",0.0,Netral
"Yes, in my opinion the accounting profession is one of the professions that has been disrupted.",0.4019,Positif
"In my opinion, yes, because it threatens several sciences and professions today.",0.0258,Positif
"In my opinion, yes, it can be disrupted, because even in the modern era, many professions are affected by this disruption.",-0.1027,Negatif
"Yes, because accounting is a field that must always develop according to the times",0.4019,Positif
"For the field of accounting itself, I think, it has a pretty good balance between artificial intelligence and humans. Because they complement each other.",0.8481,Positif
"Yes, because we as accountants can't do it using our energy but everything uses ribotics",0.34,Positif
"yes, because it will be very helpful in the future.",0.6997,Positif
"In my opinion, if you keep up with the times or enter the modern era, you can be disrupted",0.0,Netral
"Yes, because accounting is a field that must be developed within the company.",0.4019,Positif
can,0.0,Netral
Of,0.0,Netral
Of,0.0,Netral
it could be,0.0,Netral
"It seems that it is not so affected because where this accounting will be more managed finances such as finance managers, bank employees, consultants and many more.",0.2086,Positif
Yes,0.4019,Positif
"Yes, because if there is such a thing then humans will be displaced",0.4019,Positif
"I don't think so, robots can't always replace humans comprehensively",0.0,Netral
"Professionally, yes.",0.4019,Positif
it doesn't matter because accounting is more about calculations and journal tables and so on,-0.0191,Negatif
"Yes, because its use is more practical",0.4019,Positif
"maybe, because accounting requires technology to run easily",0.34,Positif
"That's right, because the data processed by accounting can now be done by big data, robotics, and artificial intelligence. like SPSS, Zahir etc",0.6808,Positif
"Yes, the accounting sector is also affected by this disruption. Because many activities in accounting use robotics.",-0.1027,Negatif
"In my opinion, the accounting profession also has an impact on disruption, because in it there are already big data, robotics, automated systems in it that make human abilities less used, and it is possible that in the next few years human abilities will no longer be used, even robotic abilities will increasingly no doubt",0.3421,Positif
"Yes, because it's impossible not to be affected if this technology dominates most of the professional fields that even exist in the world",0.5178,Positif
"Yes, I think accounting is one of the professions that has been disrupted. This is evidenced by the existence of several software for recording and auditing. But for the analysis of problems or cases in recording, it still makes human critical thinking, especially when there are rare cases. However, if it is not matched by qualified human resources, the accounting profession will be completely disrupted.",-0.6858,Negatif
I don't think so,0.0,Netral
"Yes, because an accountant is a job that does not require emotional connection in it",0.3085,Positif
"Yes, because there are many systems that are now easier and more effective",0.8357,Positif
"It could be, but even in the current era, the accounting profession will have a hard time getting a job if he doesn't have other skills. So, in the next era it will be more difficult.",-0.6474,Negatif
"The accounting profession is also affected by technological developments such as big data, robotics and artificial intelligence. Although not completely replaced, the roles and tasks in the field of accounting can experience significant changes. The following are some aspects that may influence the accounting profession:

1. Automation: Robotics and automation can be used to automate routine tasks in accounting, such as data entry, completion of ledgers, and completion of financial reports. With robotics and artificial intelligence, jobs that take a long time and are repetitive can be done more quickly and efficiently.

2. Data Analysis: Big data allows accountants to collect and analyze larger and more in-depth amounts of data. Using artificial intelligence and data analysis techniques, accountants can discover relevant patterns, trends and insights from financial data. This can help in making better decisions and provide added value to clients or companies.

3. Digital Finance: Developments in digital financial technologies, such as blockchain and cryptocurrencies, may also affect the accounting profession. Accountants may be required to understand and apply this technology in auditing, financial reporting or digital asset management processes.

4. Strategic Role: In this technological era, accountants must also adopt a more strategic role in the organization. Using the financial data and business insights they collect, accountants can provide strategic advice to management in making business decisions and financial planning.

Despite the changes, it is important to note that the human role in accounting remains important. The ability to interpret data, understand the business context, ethics, and communication skills are aspects that cannot be completely replaced by technology. Therefore, while some tasks may be automated, the accountant's expertise and knowledge remain key factors in understanding and analyzing financial information and providing professional advice to clients and companies.",0.9765,Positif
"I don't know for sure, because there are some financial reports that need to be analyzed by human cognitive",-0.2411,Negatif
"It could be. However, the use of accounting applications will also still require humans in the process, even though one day it will decrease",0.0,Netral
"Yes, because it can be used or can be learned through existing technology, but for basic material or basic discussions that must be carried out and learned through this accounting profession, but when it is running, it can be replaced.",0.2144,Positif
"Maybe yes, maybe not. On the other hand, I don't know whether robotics can make, for example, company financial reports or not, if for example, robotics can make something like that, it could be that the accounting profession will be affected.",0.7783,Positif
"Yes, it's like in bookkeeping, reporting, but like in auditing, it still requires human labor, especially the valuation part of an asset",0.8442,Positif
"The accounting profession will also be affected by society 5.0, because now there are many artificial intelligences that help the work of the accounting profession.",0.5719,Positif
"In my opinion, it could be because there are many robots now that can already read how to formulate accounting formulas, but maybe not because updates regarding a science will also have an impact on robots, maybe the robot can't update its knowledge, so it still needs humans.",0.0,Netral
"Absolutely yes. It can be seen from the ability of technology that is able to imitate various accounting jobs. However, those who are able to know the system, present accounting results, and who are able to revise errors are only accountants",0.4391,Positif
"That's right, because with developments it began to be used",0.0,Netral
"Yes, there are several accounting tasks that will be replaced by AI. However, the company will still need an accountant to supervise it.",0.4019,Positif
"No, even though it has undergone many changes, the accounting profession is considered to still exist today. In order to be able to adapt to the increasingly sophisticated era of digital transformation, an accountant needs to upgrade his quality.",0.5574,Positif
Correct,0.0,Netral
"Yes, because in my opinion, the existence of society 5.0 also has an impact on the accounting profession because initially financial reports were made by humans, they can be replaced with accounting-related applications or software.",0.4019,Positif
"no, because it would take human intelligence to scrutinize reports",0.4767,Positif
"it could be,",0.0,Netral
"In my opinion, yes, because the accounting profession will be affected quite a lot because the accounting profession is a profession that often intersects with the use of technology in facilitating work, so it is likely to be disrupted",0.2732,Positif
"Yes, it is very impactful because robotic or artificial intelligence makes minimal mistakes",0.5106,Positif
an accountant needs to upgrade self-quality so that it is not easily displaced by robotics,-0.2584,Negatif
An accountant needs to upgrade himself so that he is not easily displaced by robotics,-0.2584,Negatif
"In my opinion, not completely",0.0,Netral
"Yes, it was the first time he was hit",0.4019,Positif
"Yes, maybe Dueres now has a lot of apks made to make financial reports so it would be better if you use a tool because it avoids things that are not desirable.",0.4475,Positif
"The accounting profession is one of the professional fields that has been disrupted by technological developments. The development of big data, data analytics, artificial intelligence, and automation has changed the way accounting works.",0.4767,Positif
of course yes,0.4019,Positif
"Yes, because the accounting field uses a lot of systems that are easier to use",0.6705,Positif
"In my opinion yes, because accounting certainly has a lot of regulations that change frequently",0.6249,Positif
Can,0.0,Netral
Yes may replace humans in preparing financial reports. but as we know there needs to be users who can operate technological tools,0.2144,Positif
"Fifty fifty
Because of this impact, it makes progress and effectiveness and efficiency in accounting-related processes",0.6486,Positif
any,0.0,Netral
"In my opinion, the accounting profession is most likely to be disrupted because it is replaced by technological sophistication that will develop",0.0,Netral
"yes, because before entering data manually, filling in anything using handwriting, but because now in the era of 5.0 all robots and many other artificial intelligences, manual work can be disrupted by technology",0.6428,Positif
"I think yes, because accounting is a field that is in great demand.",0.743,Positif
"Maybe the profession can be threatened, but not all accounting professions will be disrupted",-0.25,Negatif
"I think this might not be a bother for now. However, do not rule out the possibility that the more developed technology could be this will cause disruption.",-0.119,Negatif
"maybe yes, maybe not",0.4019,Positif
"Yes, the accounting profession is directly related to computers or big data technology",0.4019,Positif
"No, what is affected by the disruption is more to accounting-based technology to help accountants work, but the way accountants think and make decisions still requires human labor",-0.0516,Negatif
"Yes, the accounting profession is one of the fields that has been disrupted",0.4019,Positif
"Yes, because the existence of accounting if it is collaborated with technology will help human activities.",0.6597,Positif
If artificial intelligence and robotics cannot replace the accounting profession,0.4767,Positif
"most issues say yes, but for me no because even though the accounting profession is assisted by several technologies, it still requires humans to continue to monitor it",-0.2067,Negatif
"Yes, because now there are many applications that automatically work on the accountant profession in making financial reports",0.4019,Positif
can,0.0,Netral
"yes, because there are so many applications that have been used to change the accounting profession",0.4019,Positif
"It could be. Especially for an analyst, everything will be made easy in accounting software so that apart from accountants who will be lost to analysts who will probably have the same impact",0.1531,Positif
"In my opinion, the accounting profession has experienced a bit of disruption because it needs to make adjustments due to the development of digital technology.",-0.3612,Negatif
can,0.0,Netral
"It could be, because there are tools to measure honesty such as AI that are more accurate than humans themselves",0.4939,Positif
For now still not,0.0,Netral
"yes, that's right, yes, it was a dependency on robots",0.6597,Positif
I think yes,0.4019,Positif
can,0.0,Netral
"I think accounting is a little disrupted in the data input section. Before the advent of technology, accountants input data one by one starting from journals to reports. But now it only takes one input in the journal.",0.0,Netral
"Yes, because it is vulnerable to the influence of technological advances, especially in the 5.0 era",0.2023,Positif
Can,0.0,Netral
"no, because robots can only replace the accounting profession in terms of administration and calculations, not to analyze ratios and others, whether the company's profit/loss is said to be good or not",0.4404,Positif
"Yes, but not all types of the accounting profession will be eroded",0.2144,Positif
"Yes, it is very likely that the accounting profession will be affected because this work happens repeatedly, but it should be noted that the accounting profession is not only about bookkeeping, but also has to give judgment on what they have done, so that it cannot be replaced by machines.",0.1406,Positif
"Not entirely, because one example is the auditor profession. The existence of artificial intelligence may be able to detect components that have the potential for misstatement, but for interpretation it still relies on the thoughts and projections of the auditor",0.2617,Positif
"Of course, as an honest accounting student I feel a little worried about the issues circulating that maybe one day accounting jobs will be replaced by robots",0.3384,Positif
"Maybe not, because not all fields of accounting can be checked using technology and big data. Still need to use humans as the main control. Because technology can't be said to be perfect and sometimes it can become error",0.25,Positif
"really hit, kek auditorr",0.0,Netral
"Maybe yes, because basically accounting is calculating financial reports. And for now, technology has gradually mastered the skills of accountants.",0.4019,Positif
"Yes Because several developed countries and large industries have taken advantage of one of the Soseity 5.0 technologies, namely scanners and automation. When an item is entered through the scanner it will automatically be journalized.",0.5719,Positif
"I don't think so, because accounting still requires in-depth analysis regarding the work of one of the auditors. Technology may replace a small number of accountant job descriptions, but all of these job descriptions will not be replaced by technology.",0.0387,Positif
"The accounting profession is one of the fields that will be disrupted, for example, currently there are KAPs that use big data, robotics, and artificial intelligence to conduct audits. However, even though they have used big data, robotics, and artificial intelligence to carry out audits, an accountant is still required to confirm.",0.7351,Positif
"Yes, because calculation problems in the future will be replaced by AI because it is faster and more efficient.",0.4754,Positif
"Yes, considering that the current accounting profession is assisted by current technologies to avoid human error",-0.296,Negatif
"in my opinion, no, this is because accounting still requires the role and human power in carrying out its profession. In this accounting it is also necessary to apply the accountant's code of ethics in analyzing financial statements in accordance with the SA and PSAK that apply in Indonesia.",0.0,Netral
"Yes, one of the affected disruption.",-0.1027,Negatif
Most likely affected,-0.2212,Negatif
"I think yes, but not completely. The work of an accountant can be replaced or made easier by AI, but not everything can be replaced.",0.6757,Positif
"Yes, because now technology related to financial records has begun to appear.",0.4019,Positif
"In my opinion, accounting is one of the fields that can be disrupted because accounting is related to recording transactions and also administrative functions that can be easily replaced by robots.",0.34,Positif
"It is possible that in the future it will be disrupted, so we as accountants must increase our skills so that we are not competed by the emergence of existing big data, robotics and artificial intelligence.",0.6597,Positif
"You could say yes but maybe a little more or not, because there are still many people who don't believe 100% of the technological advancements mentioned",0.2144,Positif
Not very significant,-0.2044,Negatif
What we can be certain of is,0.2732,Positif
Doesn't really matter,-0.0749,Negatif
"It's really impacted, especially since the accounting profession has expanded, many have been replaced by tools, AI, Apk",0.0,Netral
can,0.0,Netral
No,-0.296,Negatif
Correct,0.0,Netral
"Yes, but not completely",0.2144,Positif
"yes, for some, but not all areas of accounting have been disrupted because it requires human analysis to do work and artificial intelligence cannot replace doing that analysis work.",0.7184,Positif
can,0.0,Netral
obviously not because professional accounting is flexible,0.2263,Positif
yes,0.4019,Positif
"Possibly yes for the internal accounting profession, but for the accounting profession it is expanding, in my opinion auditors and financial analysts are still not too affected",0.3645,Positif
Can,0.0,Netral
"Yes, but not completely.",0.2144,Positif
"No, because basically Accounting is not all about bookkeeping and data processing which can be done instantly using an application. But in Accounting we also need to analyze something which in my opinion cannot be replaced by robotics and the like.",0.5023,Positif
"Impactful, because basically the accountant's work is more on administration etc. and it's easily done by the application",0.34,Positif
"It could be, accounting sections such as bookkeeping will be lost. But accounting itself is also an analyst's data from the bookkeeping.",-0.1655,Negatif
"No, because accounting has many professions that only humans can do",0.0,Netral
Can,0.0,Netral
"Yes. But it's all the same, you still need an accountant to input transaction data into the application.",0.2144,Positif
for now maybe not because the technology in the field of accounting that exists today still requires humans to operate it,0.0,Netral
I think it's included.,0.0,Netral
"Maybe yes, but not all",0.2144,Positif
can,0.0,Netral
"That's right, because you can see from now on that you've studied big data courses, it means that you don't want to use technology, and it seems that the accounting profession uses technology more and this makes things easier.",0.3773,Positif
"No, as long as the accounting profession is accompanied by supporting competencies in supporting its work activities",0.7003,Positif
"It could be yes because if you look at current developments, technology is almost entirely in the field of accounting, but it seems that there are some skills/skills of an accountant that cannot be replaced by robots.",0.2144,Positif
"Yes, but not completely",0.2144,Positif
"maybe, because of accounting from the bookkeeping model, manual recording of transactions can be replaced by using technology so as to reduce human error, but with that we must be able to beat the robotic that humans can with intelligence and true creativity",0.886,Positif
Can,0.0,Netral
"Yes, with the emergence of applications that are considered to be able to make financial reports easier without learning accounting",0.6705,Positif
yes hit,0.4019,Positif
"Yes, it is possible for bookkeeping but not for auditors who are part of the control.",0.2144,Positif
"Possibly yes, but not in the near term.",0.2144,Positif
I think so. Accounting relates to processing financial data and these activities are very likely to be replaced by Ai.,0.0,Netral
"In my opinion, between yes and no. Even though AI and robotics have quite great intelligence, they are also made by humans. For the accounting profession category, it is possible for journalism or accounting administration to be replaced by robots, but for the accounting consulting profession it is not necessarily as perfect as a human genius.",0.1873,Positif
"No, because the accounting profession always needs human resources who have competence in the field of accounting so that even though there are advances in technology, the accounting profession is still needed",0.0,Netral
Yes that's right,0.4019,Positif
not necessarily,0.0,Netral
The accounting profession has been disrupted,0.0,Netral
I think it affected many of you whose jobs have been replaced by robotics,-0.1531,Negatif
can,0.0,Netral
"a little bit, because you see that accounting also needs humans to make decisions, not just robots",0.0,Netral
Accounting is a field that has the potential to be disrupted in the future if other aspects are subject to automation in their daily lives.,0.0,Netral
"Yes, the accounting sector has also been disrupted by the development of big data, robotics and artificial intelligence. Some of the changes that have occurred in the field of accounting as a result of the disruption are automation, data analysis, and the role of accountants",0.5106,Positif
All professions will be affected,-0.1531,Negatif
possibility,0.0,Netral
"Yes, the accounting profession can be disrupted",0.4019,Positif
"sure, because even in accounting one has to master bookkeeping, and all kinds of things. and maybe many companies now want programmatic bookkeeping or keep up with current technological advances.",0.3818,Positif
"Yes, but it may still be needed because not all tasks can be replaced by robotics",0.2144,Positif
"All fields will also be disrupted, including accounting",0.0,Netral
No,-0.296,Negatif
I don't think so why because to run AI we also need an accountant to monitor because IA also can't run normally 100%,0.0,Netral
"In my opinion, the accounting profession can be disrupted because the existence of society 5.0 can change the workforce carried out by humans regarding accounting information systems with technology that exists in the era of society 5.0",0.0,Netral
"no, because the accounting profession has always been disrupted",0.0,Netral
"the accounting profession may be able to, but not in all accounting roles. because as sophisticated as robotics will require human power as well",0.8201,Positif
"Yes, because the accounting profession is a disruption because with the accounting profession it is easier for us to apply for jobs, especially those who already have accounting skills.",0.4588,Positif
